x,y,z
-844,327,170
-844,327,152
-876,327,152
-876,287,157
-876,287,157
-897,282,172
-897,282,172
-931,282,172
-931,282,190
-942,282,190
-942,287,221
-942,287,221
-936,294,221
-936,294,227
-929,296,227
-929,296,233
-929,296,233
-903,293,222
-903,293,222
-896,252,201
-890,252,201
-890,212,183
-890,212,183
-876,201,169
-885,233,169
-885,233,160
-920,233,160
-920,257,148
-912,253,148
-912,253,130
-941,253,130
-941,285,144
-922,295,157
-922,295,157
-912,283,157
-912,283,170
-901,283,170
-901,262,175
-901,262,175
-890,255,180
-892,255,180
-892,255,174
-892,255,174
-896,256,169
-909,266,169
-909,266,174
-916,266,174
-916,253,172
-916,273,172
-916,273,171
-895,273,171
-895,276,175
-899,285,168
-899,285,168
-902,296,168
-927,296,216
-927,366,350
-927,366,350
-892,517,350
-915,517,305
-915,603,232
-936,603,232
-936,717,389
-916,867,389
-916,867,398
-895,867,398
-895,1023,325
-895,1023,325
-863,1101,376
-863,1101,376
-802,1072,376
-774,1072,401
-774,966,354
-774,966,354
-724,1027,354
-707,1027,283
-707,945,240
-707,945,240
-689,827,204
-642,719,204
-642,719,161
-573,809,159
-573,809,167
-522,809,167
-496,571,79
-496,571,79
-412,693,79
-412,693,64
-347,617,88
-347,617,88
-295,496,119
-295,496,119
-271,552,119
-271,552,189
-243,552,189
-243,529,290
-295,551,290
-295,551,296
-288,551,296
-288,580,249
-235,720,309
-235,720,309
-274,832,309
-274,832,346
-301,753,350
-301,753,350
-271,784,350
-271,784,394
-723,236,1018
-723,236,1018
-627,-194,853
-627,-194,853
-663,842,205
-110,842,205
-110,1025,61
-110,1025,61
-584,1327,62
-547,1327,62
-547,1093,576
-376,1093,576
-376,1350,297
-433,1368,297
-433,1368,178
-437,1368,178
-437,989,249
-437,989,249
-516,1043,122
-516,1043,122
-461,940,250
-307,940,250
-307,1055,278
-307,1055,278
-255,1051,321
-25,1051,321
-25,1376,420
-25,1376,420
342,1593,849
479,730,849
479,730,1175
398,730,1175
398,503,652
417,-383,652
417,-383,214
25,-383,214
25,-501,-239
-220,-622,-361
-220,-622,-361
-464,-991,-361
-440,-991,-589
-440,-1105,-653
-440,-1105,-653
-362,-621,-653
-288,-621,-364
-288,813,157
-288,813,157
-294,3575,724
-294,3575,724
-271,3923,724
-271,3923,1365
-60,3923,1365
-60,3881,1538
111,2217,1538
111,2217,692
132,1414,692
132,1414,304
-323,-236,-353
-323,-236,-353
-627,-1358,-353
-550,-1358,-538
-550,-1632,-670
-550,-1632,-670
-233,-1261,-382
-10,24,-382
-10,24,-76
181,24,-76
181,2001,497
433,3742,497
433,3742,1865
570,3742,1865
570,3132,2100
-47,2335,428
-47,2335,428
-184,1266,428
-184,1266,298
-739,1266,298
-739,-81,-217
-739,-81,-217
-983,-1291,-217
-931,-1291,-363
-931,-1344,-714
-931,-1344,-714
-426,-761,-225
-56,503,-225
-56,503,158
365,503,158
365,2345,896
634,3587,896
634,3587,1770
491,3191,1770
491,3191,1370
127,2317,253
127,2317,253
-481,746,253
-481,746,163
-865,-406,-362
-865,-406,-362
-908,-1319,-687
-908,-1319,-687
-389,-1249,-306
-69,-1249,-306
-69,133,257
-69,133,257
490,1675,1253
833,1675,1253
833,2941,1918
833,2941,1918
505,2652,1204
505,2652,1204
-59,2002,1204
-59,2002,377
-680,912,-160
-680,912,-160
-1015,-168,-160
-1015,-168,-419
-1023,-737,-664
-1023,-737,-664
-346,-1005,-209
-346,-1005,-209
-29,-179,150
433,-179,150
433,1340,816
433,1340,816
536,2381,1473
513,2668,1473
513,2668,1553
170,2668,1553
170,1833,883
-1052,-174,-215
-1015,-792,-491
-1015,-792,-491
295,-129,-233
295,1399,885
295,1399,885
737,1957,1954
494,1957,1954
494,1672,1313
-237,994,24
-519,780,24
-519,780,-246
-881,780,-246
-881,460,92
-318,450,92
-318,450,200
53,549,200
53,549,411
181,854,489
181,854,489
92,1068,489
-93,1068,420
-93,1286,228
-93,1286,228
-146,1108,336
-159,899,336
-159,899,441
-108,899,441
-108,793,435
-61,809,435
-61,809,423
-4,809,423
-4,907,373
-4,907,373
-39,815,391
-39,815,391
-36,721,391
-113,721,485
-113,766,439
-113,766,439
-153,744,439
-167,744,325
-167,839,389
-167,839,389
-78,872,438
-209,880,438
-209,880,391
-114,880,391
-114,999,285
-97,968,285
-97,968,343
-124,898,343
-124,898,398
-136,573,445
-136,573,445
-110,759,445
-110,759,363
-56,882,359
-56,882,359
-114,809,386
-132,710,382
-227,776,408
-227,776,449
-158,776,449
-158,716,485
-196,569,403
-196,569,403
-212,553,403
-212,553,353
-253,600,318
-253,600,318
-268,711,318
-268,711,318
-269,631,329
-328,631,329
-328,566,352
-328,566,352
-369,589,372
-404,589,372
-404,624,376
-404,624,376
-460,604,370
-501,518,370
-501,518,431
-561,518,431
-561,451,460
-622,406,460
-622,406,436
-716,406,436
-716,402,411
-803,497,418
-803,497,418
-901,555,418
-901,555,447
-986,555,447
-986,612,422
-986,612,422
-1032,599,355
-1018,599,355
-1018,609,387
-1018,609,387
-1059,598,433
-1082,553,433
