x,y,z
-881,292,277
-881,293,277
-881,293,276
-879,293,276
-879,287,277
-879,287,277
-878,286,277
-878,286,277
-878,289,277
-878,289,273
-881,289,273
-881,288,273
-881,288,273
-883,285,273
-883,285,273
-876,285,273
-876,284,273
-876,284,273
-885,287,267
-884,289,267
-884,289,271
-878,289,271
-878,285,267
-879,290,267
-879,290,274
-878,290,274
-878,290,278
-881,290,278
-881,281,281
-881,281,281
-882,283,281
-881,283,279
-881,290,283
-881,290,283
-881,285,282
-876,289,282
-876,289,275
-884,289,275
-884,290,277
-881,290,277
-881,290,273
-883,290,273
-883,289,272
-880,292,270
-880,292,270
-877,285,270
-877,285,270
-877,284,267
-877,284,267
-876,284,267
-876,284,268
-878,287,267
-878,287,267
-881,286,271
-881,286,271
-883,288,271
-883,288,270
-887,288,270
-887,289,273
-889,289,273
-889,289,282
-899,289,282
-899,287,304
-899,288,320
-899,288,320
-891,301,320
-891,301,329
-898,294,339
-898,294,339
-891,289,341
-891,289,341
-900,293,342
-902,293,342
-902,295,336
-902,295,336
-893,279,324
-874,279,324
-874,280,323
-874,280,323
-868,291,352
-834,353,352
-834,353,456
-804,353,456
-804,260,745
-796,419,745
-796,419,988
-812,419,988
-812,642,873
-812,642,873
-888,1061,605
-888,1061,605
-936,1063,504
-1029,1063,504
-1029,937,501
-1029,937,501
-952,709,474
-957,709,474
-957,716,435
-957,716,435
-821,745,362
-794,667,362
-794,667,261
-755,667,261
-755,602,233
-662,570,233
-662,570,244
-628,570,244
-628,495,246
-533,453,215
-533,453,215
-465,490,215
-436,490,189
-436,497,182
-436,497,182
-425,444,231
-425,436,266
-409,436,266
-409,505,197
-409,505,197
-357,550,197
-357,550,232
-380,550,232
-380,474,243
-414,540,243
-414,540,268
-437,681,268
-419,681,243
-419,963,384
-419,963,384
-1168,1705,384
-661,1705,492
-661,518,-54
-661,518,-54
-412,1004,267
-791,1841,267
-791,1841,371
-546,1841,371
-546,2309,592
-497,2253,592
-497,2253,562
-79,2253,562
-79,1261,570
406,760,364
406,760,364
318,142,364
318,142,43
-122,142,43
-122,-231,-431
-122,-231,-431
-886,-808,-431
-972,-808,-361
-972,-1201,-187
-972,-1201,-187
-708,-1120,66
24,-872,66
24,-872,-19
756,-872,-19
756,885,-143
1325,2600,-143
1325,2600,788
733,2600,788
733,3745,888
-632,2800,445
-632,2800,445
-182,1752,445
-182,1752,1001
259,1005,471
259,1005,471
671,1044,-82
671,1044,-82
948,695,-111
539,695,-111
539,472,-102
539,472,-102
11,-203,-244
-892,-203,-244
-892,-1122,-39
-892,-1122,-39
-707,-986,-21
-707,-986,-21
-120,-171,-21
-120,-171,73
279,970,170
279,970,170
-12,2331,170
-12,2331,341
-298,2648,760
-298,2648,760
-769,2108,1108
-769,2108,1108
-200,2177,1080
50,2177,1080
50,2077,873
425,1101,279
954,1101,279
954,291,-113
756,291,-113
756,212,-167
-11,0,-167
-11,0,162
-457,0,162
-457,-321,178
-170,-454,-126
-170,653,-389
-170,653,-389
16,1899,198
-413,1899,198
-413,1862,1336
-413,1862,1336
-774,1140,1060
-719,871,1060
-719,871,671
373,871,671
373,917,665
97,1220,665
97,1220,18
-146,1220,18
-146,756,248
-260,377,165
-260,377,165
-165,47,165
-338,47,165
-338,-25,231
-338,-25,231
-115,513,231
-710,513,282
-710,358,318
-710,358,318
-584,416,90
-589,438,90
-589,438,-79
-740,438,-79
-740,352,-30
-869,357,-30
-869,357,143
-789,627,143
-789,627,226
-907,627,226
-907,824,264
-907,824,264
-1154,767,264
-1280,1039,91
-1280,1039,139
-1072,1039,139
-1072,847,2897
-3807,-410,2897
-3807,-410,-236
81,-410,-236
81,2293,-599
135,703,221
-909,480,-32
-909,480,-32
-736,267,-171
-730,249,-109
-678,249,-109
-678,303,205
-678,303,205
-656,347,205
-656,347,388
-606,347,388
-606,306,501
-794,547,481
-794,547,481
-943,470,481
-943,470,495
-913,435,458
-913,435,458
-743,407,458
-743,407,481
-925,292,536
-925,292,536
-1059,251,667
-1059,251,667
-1000,201,695
-955,201,695
-955,240,731
-955,240,731
-952,209,733
-879,213,733
-879,213,677
-812,213,677
-812,242,575
-794,273,575
-794,273,486
-746,273,486
