x,y,z
-517,106,-839
-600,106,-839
-600,209,-738
-600,209,-738
-644,293,-686
-644,293,-686
-681,260,-686
-681,260,-663
-729,260,-663
-729,244,-660
-729,244,-660
-780,201,-660
-780,201,-564
-830,315,-564
-830,315,-439
-830,315,-439
-602,397,-607
-602,397,-607
-553,226,-607
-553,226,-679
-510,226,-679
-510,79,-714
-510,79,-714
-495,169,-716
-554,218,-716
-554,218,-684
-615,201,-652
-697,246,-641
-697,246,-641
-741,205,-694
-741,300,-767
-741,300,-767
-718,308,-824
-642,331,-824
-642,331,-870
-588,331,-870
-588,364,-838
-569,374,-838
-569,374,-745
-616,278,-745
-616,278,-596
-845,278,-596
-845,154,-399
-770,159,-194
-770,159,-548
-604,159,-548
-624,54,-635
-624,54,-666
-661,54,-666
-661,43,-648
-692,150,-627
-692,150,-627
-715,240,-627
-715,240,-591
-728,266,-541
-728,266,-541
-740,278,-524
-740,278,-524
-716,272,-534
-706,272,-534
-706,255,-536
-706,255,-536
-725,248,-516
-792,241,-516
-792,241,-513
-848,241,-513
-848,230,-546
-862,235,-546
-862,235,-593
-807,242,-593
-807,242,-646
-736,242,-646
-736,245,-662
-736,245,-662
-667,254,-668
-621,254,-668
-621,217,-691
-621,217,-691
-584,208,-664
-621,168,-664
-621,168,-644
-713,168,-644
-713,216,-536
-783,255,-462
-783,255,-462
-751,300,-462
-668,300,-501
-668,314,-578
-668,314,-578
-642,271,-609
-665,196,-609
-665,196,-640
-604,196,-640
-604,226,-654
-609,304,-654
-609,304,-596
-668,304,-596
-675,238,-586
-675,238,-586
-846,291,-586
-846,291,-344
-798,291,-344
-798,358,-598
-798,358,-598
-672,385,-550
-742,397,-550
-742,397,-519
-731,397,-519
-731,352,-574
-689,374,-623
-689,374,-623
-746,366,-623
-746,366,-698
-795,553,-682
-795,553,-682
-580,1077,-687
-580,1077,-687
-549,1218,-761
-890,1218,-761
-890,984,-749
-890,984,-749
-761,915,-942
-648,915,-942
-648,880,-1149
-678,880,-1149
-678,752,-1286
-652,473,-1286
-652,473,-1266
-663,473,-1266
-663,342,-1065
-663,342,-1065
-721,289,-892
-721,289,-892
-683,407,-756
-641,407,-756
-641,348,-729
-641,348,-729
-665,254,-686
-625,232,-686
-625,232,-512
-539,232,-512
-539,205,-500
-517,95,-499
-517,95,-499
-500,60,-499
-518,60,-472
-518,218,-413
-518,218,-413
-507,317,-413
-574,317,-470
-574,480,-572
-618,480,-572
-618,511,-445
-665,390,-445
-665,390,-285
-1026,390,-285
-1026,-1358,1530
-248,985,-1016
-248,985,-1016
-196,453,-1016
-196,453,144
-792,453,144
-792,1201,412
-792,1201,412
-1118,1347,-500
-78,1772,-500
-78,1772,-381
-1330,1772,-381
-1330,495,379
-901,1131,379
-901,1131,-356
-960,1438,-356
-960,1438,-424
-250,1666,-1039
-250,1666,-1039
-464,1389,-1039
-464,1389,-219
-287,439,88
-287,439,88
-81,88,72
-81,88,72
222,-361,273
152,-361,273
152,-290,334
152,-290,334
146,-307,116
48,-387,116
48,-387,-5
-115,-387,-5
-115,-58,5
-218,399,-245
-218,399,-245
-534,1280,-245
-534,1280,-459
-1224,1280,-459
-1224,2315,-923
-1224,2315,-923
-1216,2342,-949
-1318,2414,-949
-1318,2414,-529
-1077,2414,-529
-1077,2145,-243
-546,1307,-243
-546,1307,-104
41,756,-104
144,756,97
144,311,145
144,311,145
54,-173,145
81,-173,115
81,-538,69
81,-538,69
346,-580,-88
309,-139,-88
309,-139,-194
-267,-139,-194
-267,777,-138
-895,1561,-570
-895,1561,-570
-1224,2477,-570
-1224,2477,-395
-1734,2717,-207
-1734,2717,-207
-1480,2089,-127
-1480,2089,-127
-750,1595,-127
-750,1595,-160
-173,1595,-160
-173,721,-82
34,49,-82
34,49,-104
-19,49,-104
-19,-229,-162
81,-296,-78
81,-296,-78
346,-513,-78
346,-513,-142
430,-531,-141
430,-531,-141
216,-203,-164
216,-203,-164
-67,492,-183
-615,492,-183
-615,1393,-356
-615,1393,-356
-978,1881,-764
-1148,2676,-764
-1148,2676,-408
-1583,2676,-408
-1583,2650,-263
-1410,1966,-111
-1410,1966,-111
-849,1181,-111
-849,1181,-193
-260,1181,-193
-260,543,-282
-260,543,-282
-57,158,-240
44,158,-240
44,-11,-222
-162,-11,-222
-162,-111,-120
-46,-360,-120
-46,-360,-137
19,-360,-137
19,-14,-227
192,65,-25
192,65,-25
-629,-46,-25
-1170,-46,-34
-1170,325,-5
-1170,325,-5
-1154,371,9
-923,212,9
-923,212,-145
-783,212,-145
-783,253,-378
-583,170,-621
-583,170,-621
-612,114,-621
-612,114,-612
-675,172,-536
-675,172,-536
-879,293,-536
-879,293,-490
-1122,248,-490
-1122,248,-610
-1197,248,-610
-1197,187,-679
-1199,203,-679
-1199,203,-725
-1192,203,-725
-1192,320,-712
-1134,426,-796
-1134,426,-796
-1095,311,-796
-1095,311,-849
-1077,191,-963
-1077,191,-963
-1073,112,-1092
-1073,112,-1092
-1160,-91,-1201
-1299,-91,-1201
-1299,-111,-1275
-1299,-111,-1275
-1352,68,-1219
-1219,353,-1219
-1219,353,-1106
-1069,353,-1106
-1069,341,-1104
-865,270,-930
-938,173,-678
-975,171,-678
-975,171,-568
-983,171,-568
-983,163,-504
-981,96,-504
-981,96,-495
-959,45,-495
-959,45,-557
-960,-22,-585
-960,-22,-585
-978,0,-585
-981,0,-588
-981,61,-611
-981,61,-611
-855,-31,-200
-1631,-1347,-200
-1631,-1347,-222
-1422,-1347,-222
-843,-522,-1029
-843,-522,-1029
-567,5,-1029
-422,160,-909
-422,160,-909
-477,213,-887
-545,531,-675
-608,531,-675
-608,656,-563
-950,256,-486
-950,256,-486
-913,698,-486
-913,698,-323
-944,473,-415
-944,473,-415
-868,389,-415
-868,389,-545
-709,339,-698
-665,339,-698
-665,121,-857
-665,121,-857
-695,44,-816
-668,44,-816
-668,45,-751
-668,45,-751
-630,-107,-759
-738,149,-759
-738,149,-588
-787,149,-588
-787,73,-533
-812,24,-499
-812,24,-499
-761,-45,-499
-745,-45,-522
-745,-44,-528
-745,-44,-528
-753,-125,-538
-753,-125,-538
-759,-103,-538
-759,-103,-498
-797,-103,-498
-797,-157,-463
-822,-94,-463
-822,-94,-436
-878,-83,-436
-878,-83,-410
-902,-53,-403
-902,-53,-403
-964,-88,-403
-1203,-88,-418
-1203,1,109
-1203,1,109
-1230,404,-309
