x,y,z
-935,175,198
-935,174,194
-934,174,194
-934,172,196
-934,172,196
-931,170,196
-931,170,196
-930,170,196
-930,169,201
-930,169,201
-932,171,200
-932,171,200
-937,170,200
-937,170,202
-935,170,202
-935,172,203
-935,172,203
-932,172,203
-932,172,206
-926,172,206
-926,171,205
-926,171,205
-928,171,205
-934,172,205
-934,172,208
-935,172,208
-935,173,204
-934,171,204
-934,171,207
-938,171,207
-938,173,213
-943,174,212
-943,174,212
-937,174,212
-937,174,214
-933,174,214
-933,173,209
-933,173,209
-932,174,209
-925,174,212
-925,171,208
-925,171,208
-926,173,205
-924,178,205
-924,178,202
-923,178,202
-923,184,203
-935,189,203
-935,189,203
-936,213,203
-936,213,205
-955,311,244
-955,311,244
-967,393,244
-967,393,245
-935,478,315
-935,478,315
-922,626,329
-922,626,329
-904,611,268
-854,611,268
-854,567,252
-854,567,252
-834,515,284
-809,515,284
-809,446,293
-809,446,293
-779,458,272
-779,458,272
-772,510,272
-772,510,265
-756,534,262
-756,534,262
-756,569,262
-756,569,250
-777,624,244
-777,624,244
-773,666,209
-773,666,209
-756,708,184
-723,708,184
-723,735,228
-723,735,228
-751,660,230
-736,660,230
-736,612,242
-727,612,242
-727,559,252
-723,561,252
-723,561,283
-726,561,283
-726,518,253
-706,569,253
-706,569,248
-676,611,248
-676,611,270
-656,583,252
-656,583,252
-623,602,252
-623,602,259
-598,602,259
-598,589,253
-598,589,253
-570,557,279
-526,587,301
-518,594,301
-518,594,354
-506,578,403
-533,542,424
-533,542,424
-567,629,424
-676,629,401
-676,889,283
-676,889,283
-645,639,283
-818,639,255
-818,739,201
-804,739,201
-804,513,29
-871,1019,29
-871,1019,41
-584,1019,41
-584,327,68
-584,327,68
-610,430,282
-610,430,282
-652,754,282
-495,754,238
-495,890,90
-495,890,90
-439,914,90
-384,914,155
-384,986,225
-384,986,225
-331,850,206
-284,800,206
-284,800,198
-254,800,198
-254,849,158
-266,890,158
-266,890,82
-356,890,82
-356,1104,-14
-409,1137,-2
-409,1137,-2
-484,1062,-2
-484,1062,78
-452,869,123
-452,869,123
-388,693,123
-388,693,131
-295,670,129
-295,670,129
-221,741,102
-221,741,102
-178,796,102
-178,796,76
-152,796,76
-152,780,64
-138,769,52
-138,769,52
-167,851,52
-167,851,2
-260,916,-19
-260,916,-19
-316,901,-19
-316,901,-33
-360,860,-52
-360,860,-52
-344,837,-37
-344,837,-37
-368,822,-22
-349,822,-22
-349,825,17
-349,825,17
-340,891,41
-331,891,41
-331,983,53
-331,983,53
-300,1009,11
-274,1015,11
-274,1015,-16
-275,1015,-16
-275,965,-31
-309,889,-31
-309,889,-40
-338,889,-40
-338,853,-43
-338,853,-43
-340,791,-27
-340,791,-27
-337,730,7
-360,781,-89
-376,839,-89
-376,839,-24
-358,983,85
-348,1001,44
-348,1001,44
-329,959,44
-300,959,8
-300,847,-17
-300,847,-17
-312,744,-17
-312,744,-39
-312,600,-37
-331,600,-37
-331,551,-89
-331,551,-89
-424,828,-89
-424,828,-117
-469,828,-117
-469,950,-92
-487,1033,-92
-487,1033,60
-452,1087,60
-357,1087,126
-357,1035,134
-357,1035,134
-287,1008,134
-226,1008,115
-226,909,92
-226,909,92
-213,730,65
-213,538,65
-213,538,32
-213,538,32
-213,503,-72
-315,770,-72
-315,770,-111
-377,770,-111
-377,838,-35
-396,872,-18
-396,872,-18
-446,942,-18
-446,942,-24
-495,1053,76
-495,1053,76
-403,1006,76
-403,1006,66
-363,1006,66
-363,1086,2
-363,1086,2
-372,891,-58
-348,758,-58
-348,758,-61
-362,758,-61
-362,662,-32
-392,690,-32
-392,690,-27
-407,690,-27
-407,864,-23
-431,960,8
-431,960,8
-451,1005,8
-451,1005,28
-409,996,14
-409,996,14
-350,959,-35
-350,959,-35
-342,901,-50
-342,901,-50
-342,805,-34
-342,805,-34
-365,717,-11
-394,717,-11
-394,700,-26
-394,700,-26
-389,828,-64
-389,828,-64
-406,830,-64
-406,830,-24
-399,881,-6
-399,881,-6
-424,832,21
-424,832,21
-429,830,0
-413,830,0
-413,755,-36
-413,755,-36
-475,725,43
-474,650,43
-474,650,53
-534,650,53
-534,574,130
-459,582,130
-459,582,92
-525,582,92
-525,730,128
-556,714,133
-556,714,133
-568,729,133
-564,729,152
-564,743,107
-564,743,107
-585,847,107
-591,847,57
-669,702,80
-631,750,-15
-649,737,-16
-649,737,-16
-677,696,-16
-682,696,-22
-682,651,-1
-682,651,-1
-717,603,-1
-730,603,-11
-730,557,-24
-730,557,-24
-723,559,7
-729,563,7
-729,563,26
-728,563,26
-728,556,40
-722,541,40
-722,541,99
-676,541,99
-676,528,116
-666,490,139
-666,490,139
-680,490,139
-680,490,162
-741,490,162
-741,482,232
-741,482,232
-840,493,232
-914,451,265
-987,342,260
-987,342,283
-1017,342,283
-1049,221,304
-1049,221,304
-1042,237,304
-1042,237,268
-1026,308,239
-1026,308,239
-1023,332,239
-1023,332,226
-987,416,243
-987,416,243
-970,471,231
-970,471,231
-998,443,224
-969,443,224
-969,423,213
-969,423,213
-921,358,228
-928,308,228
-928,308,219
-919,308,219
