x,y,z
-678,338,-579
-658,330,-579
-658,330,-600
-638,330,-600
-638,308,-621
-638,308,-621
-641,304,-621
-641,304,-637
-639,324,-637
-639,324,-608
-646,324,-608
-646,329,-614
-646,329,-614
-645,326,-614
-645,326,-621
-640,326,-621
-640,327,-632
-639,327,-632
-639,330,-619
-639,330,-619
-635,325,-619
-635,325,-625
-644,327,-621
-640,323,-623
-640,323,-623
-644,318,-623
-641,318,-617
-641,313,-623
-641,313,-623
-638,312,-626
-644,319,-626
-644,319,-621
-646,319,-621
-646,318,-614
-650,319,-611
-650,319,-611
-652,314,-611
-652,314,-612
-645,314,-612
-645,316,-622
-645,316,-622
-655,304,-610
-656,314,-610
-656,314,-617
-651,314,-617
-651,305,-611
-656,311,-610
-656,311,-610
-650,318,-610
-650,318,-613
-652,316,-611
-652,316,-611
-654,314,-616
-654,314,-616
-652,314,-617
-653,324,-607
-654,331,-607
-654,331,-610
-650,335,-612
-654,333,-607
-654,333,-607
-652,336,-607
-652,336,-604
-652,329,-612
-652,329,-612
-650,327,-618
-650,327,-618
-652,332,-618
-652,332,-611
-652,336,-610
-650,339,-608
-650,339,-608
-653,343,-609
-653,342,-606
-653,342,-606
-650,336,-612
-640,354,-612
-640,354,-594
-629,354,-594
-629,378,-604
-627,410,-604
-627,410,-591
-638,476,-591
-638,476,-578
-669,550,-517
-669,550,-517
-678,615,-517
-678,615,-511
-697,671,-524
-697,671,-524
-697,666,-523
-697,666,-523
-677,691,-525
-673,691,-525
-673,775,-537
-661,775,-537
-661,857,-531
-661,857,-531
-663,866,-531
-663,866,-533
-680,864,-558
-680,864,-558
-653,877,-609
-653,877,-609
-632,874,-638
-644,874,-638
-644,849,-658
-644,849,-658
-615,818,-739
-591,798,-739
-591,798,-772
-544,798,-772
-480,655,-746
-480,661,-719
-480,661,-719
-362,601,-787
-264,586,-787
-264,586,-812
-308,586,-812
-308,473,-692
-308,473,-692
-413,403,-510
-413,403,-510
-304,559,-510
-182,559,-526
-182,514,-540
-182,514,-540
-239,333,-478
-980,-1116,-478
-980,-1116,597
-1306,-1116,597
-1306,1227,-523
-159,1591,-1284
-159,1591,-1284
-1290,-484,-1284
-1290,-484,-1578
1449,1303,-1656
1449,1303,-1656
41,3009,-433
41,3009,-433
-394,2132,-1007
312,2132,-1007
312,862,-1465
312,862,-1465
838,-626,-733
374,-1217,-733
374,-1217,519
-822,-1217,519
-822,-544,924
-661,0,924
-661,0,141
107,-285,141
107,-285,-898
160,-285,-898
160,745,-1289
160,745,-1289
174,2238,-1106
124,2238,-1106
124,1952,-957
145,1952,-957
145,941,-198
-97,534,-198
-97,534,145
-141,534,145
-141,770,-68
76,869,-668
76,869,-668
178,809,-668
97,809,-787
97,931,-678
97,931,-678
50,925,-630
114,814,-630
114,814,-638
114,814,-638
114,753,-594
54,697,-529
54,697,-529
-45,672,-529
-45,672,-423
5,853,-379
5,853,-379
-205,584,-350
-205,584,-350
-136,744,-350
-136,744,-349
-290,744,-349
-290,604,-406
-425,487,-198
-425,487,-198
-387,517,-198
-387,517,-333
-396,425,-589
-396,425,-589
-347,169,-427
-347,169,-427
-960,-397,-1457
-1136,-397,-1457
-1136,334,216
-1136,334,216
-400,-457,-1752
-518,823,-1752
-518,823,-688
-785,823,-688
-785,427,-492
-1060,533,-492
-1060,533,-293
-1156,364,-293
-779,364,-666
-779,590,-1014
-779,590,-1014
-1021,932,-1014
-1021,932,-784
-654,932,-784
-654,470,-917
-831,470,-917
-831,498,-969
-830,649,-969
-830,649,-1022
-846,649,-1022
-846,753,-974
-769,667,-1398
-769,667,-1398
-758,1346,-1398
-570,1346,-1124
-570,1532,-627
-570,1532,-627
-988,1174,-539
-809,1033,-539
-809,1033,-217
-878,1033,-217
-878,221,-826
-308,460,-1060
-308,460,-1060
-101,350,-1060
-101,350,-1132
-228,339,-1038
-228,339,-1038
-536,549,-727
-536,549,-727
-745,730,-462
-728,730,-462
-728,707,-414
-728,707,-414
-760,635,-577
-760,635,-577
-682,506,-577
-682,506,-713
-695,489,-736
-695,489,-736
-790,408,-695
-790,408,-695
-881,334,-671
-828,334,-671
-828,348,-714
-828,348,-714
-899,389,-615
-870,-171,-973
-346,311,-1046
-346,311,-1046
-342,-41,-982
-342,482,-838
-342,482,-838
-378,588,-740
-805,339,-740
-805,339,-587
-1032,339,-587
-1032,241,-467
-875,319,-489
-875,319,-489
-627,257,-489
-627,257,-670
-467,257,-670
-467,134,-736
-467,134,-736
-425,63,-724
-441,54,-724
-441,54,-706
-480,54,-706
-480,77,-682
-526,132,-682
-526,132,-602
-594,175,-602
-594,175,-541
-626,166,-569
-626,166,-569
-636,205,-569
-636,205,-601
-626,228,-636
-624,228,-636
-624,281,-678
-624,281,-678
-598,287,-704
-622,287,-704
-622,316,-686
-640,316,-686
-640,340,-677
-674,352,-677
-674,352,-667
-694,352,-667
-694,373,-665
-694,373,-665
-697,370,-673
-697,370,-673
-665,383,-683
-707,383,-683
-707,587,-659
-707,587,-659
-800,687,-310
-930,689,-310
-930,689,-595
-734,689,-595
-734,501,-637
-718,446,-640
-718,446,-640
-614,394,-640
-557,394,-685
-557,362,-686
-557,362,-686
-570,381,-659
-629,279,-659
-629,279,-659
-612,279,-659
-612,256,-672
-577,224,-706
-577,224,-706
-549,234,-706
-549,234,-723
-551,219,-728
-551,219,-728
-568,249,-701
-568,249,-701
-570,273,-701
-570,273,-670
-599,273,-670
-599,289,-681
-577,275,-681
-577,275,-695
-590,241,-695
-590,241,-705
-592,273,-698
-592,273,-698
-538,362,-698
-538,362,-663
-644,195,-665
-594,195,-665
-594,273,-661
-594,273,-661
-621,248,-669
-627,248,-669
-627,278,-657
-650,278,-657
-650,264,-605
-673,361,-605
-673,361,-605
-637,361,-605
-652,289,-661
-632,327,-649
-632,297,-652
-618,297,-652
-618,299,-643
-618,299,-643
-622,298,-643
-622,298,-662
-609,298,-662
-609,273,-680
-601,284,-681
-601,284,-681
-589,291,-681
-588,291,-686
-588,294,-687
-588,294,-687
-587,316,-684
-586,308,-684
-586,308,-688
-592,308,-688
-592,316,-678
-601,285,-663
-601,285,-663
-614,307,-663
-614,307,-662
-625,302,-666
-619,312,-671
-617,297,-671
-617,297,-667
-619,297,-667
-619,296,-668
-619,296,-668
-606,288,-673
-606,288,-673
-605,301,-657
-599,301,-657
-599,303,-670
-615,303,-670
-606,305,-663
