x,y,z
-816,376,388
-816,376,388
-818,375,388
-818,375,391
-830,375,391
-830,376,386
-830,376,386
-841,392,386
-841,392,385
-814,393,385
-814,393,393
-814,393,393
-813,389,394
-813,389,394
-832,382,394
-832,382,398
-844,382,398
-844,368,392
-844,368,392
-849,353,384
-840,350,384
-840,350,372
-825,350,372
-825,350,354
-823,343,354
-823,343,347
-827,343,347
-827,337,343
-835,330,340
-835,330,340
-831,329,340
-828,329,331
-828,325,331
-828,325,331
-826,322,331
-826,322,327
-825,322,327
-825,327,324
-825,327,324
-822,328,322
-820,334,322
-820,334,324
-819,334,324
-819,340,330
-817,349,330
-817,349,330
-816,353,330
-816,353,338
-812,366,342
-812,366,342
-815,366,342
-821,366,352
-821,371,358
-821,371,358
-825,378,364
-823,381,364
-823,381,370
-823,381,370
-823,379,372
-820,377,372
-820,377,373
-822,377,373
-814,368,377
-814,368,377
-813,392,377
-794,392,394
-794,424,414
-794,424,414
-808,453,414
-799,453,446
-799,517,478
-799,517,478
-794,560,510
-783,619,510
-783,619,501
-749,619,501
-749,693,503
-743,684,503
-743,684,536
-707,652,536
-707,652,497
-684,672,451
-684,672,451
-673,759,451
-673,759,467
-648,765,527
-648,765,527
-654,695,495
-654,695,495
-657,713,500
-673,713,500
-673,672,464
-673,672,464
-688,588,464
-688,588,455
-667,588,455
-667,573,433
-629,662,426
-629,662,426
-613,604,426
-613,604,378
-588,576,378
-588,576,378
-557,549,378
-557,549,382
-506,555,359
-456,555,359
-456,550,307
-456,550,307
-411,557,259
-353,557,259
-353,573,181
-353,573,181
-292,664,177
-208,736,177
-208,736,149
-194,686,114
-163,712,114
-163,712,37
-177,845,-15
-218,842,-86
-218,842,-86
-275,883,-86
-275,883,20
-565,883,20
-565,570,378
-565,570,378
-1521,-676,405
-414,-676,405
-414,470,598
-414,470,598
-442,441,505
-719,1039,505
-719,1039,-430
-893,1039,-430
-893,1143,-168
-1084,836,-168
-1084,836,610
-1034,1130,610
-901,1130,778
-901,1145,598
-901,1145,598
-672,1082,598
-522,1082,797
-522,1068,401
-522,1068,401
-494,1025,322
-391,971,322
-391,971,193
-442,1235,121
-442,1235,21
-495,1235,21
-495,835,181
-386,903,87
-386,903,87
-333,625,87
-388,625,102
-388,38,194
-388,38,194
-286,-455,194
-180,-455,-294
-180,-1125,-558
-180,-1125,-558
154,-735,-251
116,216,-251
116,216,475
-19,216,475
-19,860,1152
-300,2116,1152
-300,2116,1869
-1921,2349,1869
-1921,2349,936
-1566,1061,932
-1566,1061,932
-905,947,932
-905,947,869
-814,1050,404
-814,1050,404
-298,870,-112
-298,870,-112
29,293,-112
29,293,-365
498,293,-365
498,-389,-352
547,-79,-352
547,-79,201
363,-79,201
363,380,711
20,672,484
20,672,484
-1110,2114,484
-1110,2114,505
-2026,1616,502
-2026,1616,502
-1578,281,502
-1578,281,629
-1289,985,793
-1289,985,793
-315,1021,679
-315,1021,679
1012,-462,-165
1207,-462,-165
1207,-322,300
1207,-322,300
218,1,801
461,1,801
461,445,436
-350,445,436
-350,1750,686
-1571,1630,686
-1571,1630,544
-1691,1630,544
-1691,427,470
-1691,427,470
-662,718,828
-662,718,828
24,580,1079
-24,580,1079
-24,708,801
-24,708,801
-378,611,642
-142,611,642
-142,585,528
-142,585,528
-477,615,461
-470,659,461
-470,659,394
-434,659,394
-434,711,460
-481,706,460
-481,706,591
-443,706,591
-443,675,640
-470,648,563
-497,606,538
-497,398,619
-497,398,619
-474,436,464
-474,318,437
-537,318,437
-537,318,307
-537,318,307
-608,287,307
-608,287,294
-676,287,294
-676,358,297
-687,271,369
-687,271,369
-714,263,369
-789,263,342
-789,230,345
-789,230,345
-820,271,345
-777,271,358
-777,288,343
-777,288,343
-783,338,316
-846,331,316
-846,331,316
-928,331,316
-928,355,324
-954,407,324
-954,407,344
-960,407,344
-960,437,411
-1007,500,502
-1007,500,502
-1074,545,502
-1074,545,523
-1084,545,523
-1084,604,508
-1084,604,508
-1068,707,508
-1049,707,507
-1049,746,547
-1049,746,547
-986,706,551
-951,692,551
-951,692,524
-886,692,524
-774,712,494
-774,712,494
-768,655,494
-777,615,474
-777,615,474
-778,566,474
-778,566,451
-805,540,436
-805,540,436
-820,460,383
-842,460,383
-842,430,362
-866,389,366
-862,307,366
-862,307,368
-879,307,368
-879,249,361
-881,209,344
-886,178,337
-879,178,337
-879,195,322
-879,195,322
-870,209,318
-862,224,318
-862,224,316
-851,224,316
-851,229,312
-838,241,312
-838,241,312
-829,241,312
-829,259,311
-838,271,315
-838,271,315
-850,279,315
-843,279,315
-843,290,321
-843,290,321
-842,301,321
-826,301,325
-826,309,318
-826,309,318
-828,319,328
-828,319,328
-837,325,328
-837,325,335
-844,325,335
-844,322,347
-846,318,347
