x,y,z
-750,344,-472
-750,344,-472
-747,349,-470
-747,349,-470
-748,350,-470
-748,350,-469
-746,350,-469
-746,348,-475
-746,348,-475
-742,348,-475
-742,348,-475
-749,349,-475
-749,349,-473
-749,349,-473
-749,349,-474
-749,349,-474
-748,349,-472
-748,349,-472
-746,349,-472
-746,349,-470
-744,349,-470
-744,342,-476
-744,342,-476
-755,355,-471
-752,355,-471
-752,355,-468
-749,362,-468
-746,362,-462
-746,358,-464
-746,358,-464
-743,353,-464
-747,353,-472
-747,352,-476
-748,352,-476
-748,348,-479
-748,348,-479
-748,339,-479
-748,339,-477
-751,339,-477
-751,334,-472
-747,337,-470
-747,337,-470
-749,342,-470
-746,342,-466
-746,354,-471
-746,354,-471
-742,353,-474
-741,349,-474
-741,349,-478
-742,349,-478
-742,354,-471
-745,362,-471
-745,362,-471
-723,382,-471
-723,382,-472
-725,419,-434
-786,519,-220
-855,519,-220
-855,631,-117
-808,708,-117
-808,708,-413
-679,708,-413
-679,845,-459
-805,954,-355
-805,954,-355
-868,1071,-355
-849,1209,-431
-849,1209,-431
-925,1227,-379
-925,1227,-379
-951,1152,-384
-1019,1152,-384
-1019,1105,-380
-1019,1105,-380
-944,1036,-272
-933,981,-272
-933,981,-253
-922,981,-253
-922,925,-145
-887,862,-141
-887,862,-141
-719,764,-141
-710,764,-219
-710,615,-273
-710,615,-273
-589,470,-519
-564,210,-519
-564,210,-620
-483,210,-620
-483,53,-399
-483,53,-399
-427,-17,-399
-427,-17,-294
-410,-302,-294
-514,-302,-599
-514,-324,-1549
-514,-324,-1549
-699,51,-1549
-1056,51,-1523
-1056,228,3398
-1056,228,3398
328,-99,684
-2337,1446,684
-2337,1446,413
-822,1446,413
-822,497,41
298,2690,-375
298,2690,-375
-438,1078,-375
-438,1078,-166
-696,1287,-853
-696,1287,-853
-48,1202,-1102
-48,1202,-1102
-956,1720,-1000
-1009,1720,-1000
-1009,1860,-659
-1009,1860,-659
-899,1277,-2314
-932,1202,-2314
-932,1202,-1212
-14,1202,-1212
-14,472,-739
-14,472,-739
-266,-147,-739
-266,-147,207
233,-977,519
233,-977,519
263,-1470,655
263,-1470,655
261,-1576,712
205,-1576,712
205,-1469,1017
205,-1469,1017
-202,-469,1380
-566,1207,1380
-566,1207,561
-1274,1207,561
-1274,3433,-2474
-1634,3923,-3919
-1634,3923,-3919
-2256,3002,-3919
-1230,3002,-2365
-1230,1863,-1376
-1230,1863,-1376
-614,1149,-281
-839,-209,-281
-839,-209,229
652,-209,229
652,-1151,1093
652,-1151,1093
792,-1326,1093
792,-1326,750
593,-1499,750
-141,-1499,870
-141,-1477,1194
-141,-1477,1194
-795,-135,1194
-708,-135,601
-708,1552,-1135
-708,1552,-1135
-2013,3466,-2860
-2540,3404,-2860
-2540,3404,-3065
-2059,3404,-3065
-1159,1295,-953
-1159,1295,-953
-60,171,-953
112,-726,1048
112,-726,1048
342,-1218,1026
342,-1218,1026
317,-1132,561
532,-1132,561
532,-1592,734
532,-1592,734
-320,-903,677
-273,290,677
-273,290,-375
-1509,290,-375
-1509,2676,-2410
-1509,2676,-2410
-1396,3173,-2410
-1396,3173,-3924
-1732,2917,-2216
-1715,2917,-2216
-1715,2034,-817
-1715,2034,-817
-778,931,-410
222,931,-410
222,-301,338
222,-301,338
242,-629,1018
252,-779,1018
252,-779,1112
159,-779,1112
159,-1031,952
142,-951,539
142,-951,539
43,-393,539
-671,-393,-182
-671,1340,-1381
-671,1340,-1381
-1875,2835,-2783
-2099,2852,-2783
-2099,2852,-2535
-1618,2852,-2535
-1618,2532,-1530
-827,1708,-860
-827,1708,-860
-57,453,-860
-57,453,-108
573,453,-108
573,-381,933
573,-381,933
537,-889,933
161,-889,1028
161,-950,948
156,-950,948
156,-1155,1066
-197,-833,1066
-197,-833,403
-324,-833,403
-324,709,-476
