x,y,z
-878,27,-381
-882,27,-381
-882,17,-376
-880,17,-376
-880,22,-382
-880,22,-382
-878,17,-382
-878,17,-378
-878,22,-378
-878,22,-383
-878,22,-383
-878,17,-372
-878,17,-372
-878,22,-372
-878,22,-376
-878,22,-376
-878,17,-377
-878,17,-377
-878,21,-378
-875,22,-378
-875,22,-380
-879,22,-380
-879,24,-376
-878,27,-377
-878,27,-377
-878,14,-377
-878,14,-380
-877,14,-380
-877,17,-383
-877,17,-383
-876,24,-380
-878,26,-380
-878,26,-378
-877,26,-378
-877,14,-382
-879,18,-377
-879,18,-377
-873,23,-377
-873,23,-386
-875,24,-384
-875,24,-384
-885,11,-381
-885,11,-381
-883,11,-393
-879,11,-393
-879,29,-388
-879,29,-388
-886,39,-376
-875,59,-376
-875,59,-382
-879,59,-382
-879,49,-377
-881,55,-389
-881,55,-389
-871,27,-389
-867,27,-397
-867,26,-384
-867,26,-384
-869,15,-380
-869,15,-380
-871,6,-380
-871,6,-387
-871,6,-387
-871,-6,-393
-878,11,-393
-878,11,-384
-868,6,-384
-867,6,-380
-867,4,-379
-867,4,-379
-867,3,-379
-866,3,-386
-866,4,-386
-870,4,-386
-870,4,-387
-873,15,-387
-873,15,-389
-872,15,-389
-872,13,-391
-874,19,-397
-874,19,-397
-877,48,-397
-877,48,-444
-879,95,-487
-879,95,-487
-920,269,-487
-920,269,-487
-908,356,-364
-979,356,-364
-979,464,-286
-979,464,-286
-994,551,-365
-994,551,-365
-953,625,-365
-953,625,-424
-972,672,-363
-972,672,-363
-1013,629,-376
-1013,629,-376
-1054,645,-436
-1048,645,-436
-1048,571,-418
-1048,571,-418
-1012,507,-466
-1021,481,-466
-1021,481,-440
-1026,481,-440
-1026,426,-448
-1051,353,-396
-1051,353,-396
-989,322,-396
-1041,322,-422
-1041,145,-185
-1041,145,-185
-985,178,-319
-842,292,-319
-842,292,-578
-818,292,-578
-818,221,-462
-818,221,-462
-886,406,-315
-886,406,-315
-1010,454,-315
-875,454,18
-875,402,-278
-875,402,-278
-764,348,-288
-733,273,-288
-733,273,-330
-684,273,-330
-684,359,-401
-801,-1627,-401
-801,-1627,3645
-1157,-1251,3645
-1157,-1251,-1100
-995,2260,125
-995,2260,125
-1264,1398,125
-1264,1398,-332
-1986,625,-349
-1179,625,-349
-1179,1004,-845
-1179,1004,-845
-1144,1171,-741
-2002,1171,-741
-2002,1919,-332
-2319,1919,-332
-2319,1973,-67
-1271,1108,-67
-1271,1108,114
-45,1108,114
-45,75,415
-45,75,415
990,-456,170
990,-456,170
1273,-516,86
1780,-516,86
1780,-944,15
1780,-944,15
1623,-1425,203
953,-1573,203
577,-1124,-101
8,-316,-164
8,-316,-164
-2887,1002,-499
-2887,1676,-1250
-2887,1676,-1250
-2009,1958,-1165
-953,1305,-1165
-953,1305,-192
-955,1305,-192
-955,1228,707
-1479,1594,340
-1479,1594,340
-1391,1373,340
-1391,1373,-351
-559,1158,-134
-559,1158,-134
-605,624,58
-605,624,58
-383,300,58
-383,300,-40
-589,300,-40
-589,714,-194
-629,612,-277
-629,612,-277
-512,562,-277
-512,562,-281
-567,595,-165
-567,595,-165
-566,658,-164
-566,658,-164
-548,658,-197
-515,658,-197
-515,700,-119
-515,700,-119
-634,792,-157
-444,678,-157
-444,678,-225
-323,678,-225
-323,584,-304
-339,590,-304
-339,590,-233
-388,479,-233
-473,479,-248
-473,614,-490
-473,614,-490
-359,167,-490
-359,167,-286
-532,167,-286
-532,223,-576
-547,223,-576
-547,93,-231
-982,131,-231
-982,131,53
-717,131,53
-717,298,-259
-536,331,-410
-536,331,-410
-579,164,-410
-629,164,-426
-629,107,-408
-629,107,-408
-646,73,-398
-618,98,-398
-618,98,-578
-730,98,-578
-730,68,-549
-747,59,-650
-747,59,-650
-809,118,-650
-809,118,-686
-915,166,-706
-915,166,-706
-1056,122,-770
-1055,122,-770
-1055,133,-828
-1091,108,-824
-1091,108,-824
-1207,160,-824
-1207,160,-782
-1237,147,-754
-1237,147,-754
-1538,-48,-1092
-1538,-48,-1092
-1335,235,-522
-1046,235,-522
-1046,43,-798
-1046,43,-798
-697,23,-1038
-786,239,-1038
-786,239,-931
-900,239,-931
-900,240,-692
-948,221,-621
-948,221,-621
-928,204,-621
-879,204,-650
-879,103,-650
-879,103,-650
-834,63,-696
-782,-33,-696
-782,-33,-679
-753,-33,-679
-753,-62,-662
-753,-57,-621
-753,-57,-621
-813,-59,-621
-813,-59,-577
-812,-59,-577
-812,-58,-530
-812,-58,-530
-805,-102,-493
-821,-133,-493
-821,-133,-478
-836,-133,-478
-836,-179,-460
-830,-164,-460
-830,-164,-471
-833,-163,-471
-833,-163,-505
-805,-173,-513
-805,-173,-513
-824,-186,-513
-824,-186,-494
-842,-176,-479
-853,-176,-479
-853,-190,-464
-853,-190,-464
-845,-199,-446
-802,-205,-446
-802,-205,-460
-802,-193,-460
-802,-193,-467
-815,-193,-467
-815,-158,-483
-815,-158,-483
-798,-158,-483
-796,-143,-483
-796,-143,-492
-796,-143,-492
-796,-150,-492
-780,-146,-492
-780,-146,-502
-783,-129,-502
-788,-129,-505
-788,-117,-495
-788,-117,-495
-785,-115,-495
-787,-115,-508
-787,-106,-502
-795,-106,-502
-795,-108,-506
-798,-109,-506
-798,-109,-513
-793,-109,-513
-793,-108,-508
-803,-112,-509
-803,-112,-509
-806,-107,-509
-806,-107,-504
-803,-106,-505
-803,-106,-505
-804,-109,-503
-804,-109,-503
-804,-107,-503
-804,-107,-496
-813,-107,-496
-813,-107,-480
-825,-103,-485
-809,-95,-489
-809,-95,-489
-814,-104,-490
-824,-97,-486
-826,-97,-486
-826,-89,-476
-826,-89,-476
-826,-95,-477
-824,-100,-477
-824,-100,-484
-824,-100,-484
-824,-99,-493
-824,-113,-484
-825,-113,-484
-825,-114,-487
-820,-108,-487
-820,-108,-490
-814,-108,-490
-814,-108,-493
-814,-108,-493
-809,-106,-498
-809,-106,-498
-805,-100,-498
-809,-100,-502
-809,-98,-493
-809,-98,-493
-809,-110,-493
-806,-110,-493
-806,-110,-494
-809,-110,-494
-811,-105,-511
-811,-105,-511
-801,-103,-511
-801,-103,-507
-809,-102,-501
-809,-102,-501
-809,-104,-495
-809,-104,-495
-807,-105,-489
-806,-105,-489
-806,-106,-482
-806,-106,-482
-817,-101,-487
-816,-105,-487
-816,-105,-494
-804,-105,-494
-804,-106,-491
-813,-98,-487
-813,-98,-487
-814,-101,-487
-814,-101,-481
-818,-101,-481
-818,-103,-492
-814,-100,-490
-821,-93,-501
-808,-83,-502
-808,-91,-506
-808,-91,-506
-810,-103,-488
-810,-103,-477
-804,-103,-477
-808,-110,-490
-808,-110,-490
-811,-94,-490
-811,-94,-494
-810,-93,-502
-810,-93,-502
-807,-77,-508
-807,-77,-508
