x,y,z
-883,-234,-313
-883,-234,-313
-873,-237,-325
-873,-237,-325
-877,-281,-325
-877,-281,-300
-857,-281,-300
-857,-293,-305
-857,-293,-305
-834,-307,-296
-834,-307,-296
-832,-319,-296
-832,-319,-282
-829,-319,-282
-829,-315,-268
-829,-315,-268
-822,-299,-268
-822,-299,-247
-845,-299,-247
-845,-326,-268
-845,-326,-268
-855,-351,-294
-855,-351,-294
-876,-302,-301
-894,-302,-301
-894,-275,-275
-897,-275,-275
-897,-249,-279
-884,-225,-290
-861,-238,-290
-861,-238,-304
-842,-238,-304
-842,-272,-307
-836,-304,-307
-836,-304,-295
-889,-304,-295
-889,-340,-277
-911,-347,-275
-911,-347,-275
-922,-303,-275
-869,-303,-270
-869,-243,-260
-869,-243,-260
-864,-237,-283
-868,-237,-283
-868,-249,-290
-889,-249,-290
-889,-283,-307
-889,-283,-307
-873,-348,-307
-873,-348,-304
-886,-348,-304
-886,-307,-285
-876,-240,-265
-876,-240,-265
-827,-197,-265
-800,-197,-260
-800,-177,-266
-800,-177,-266
-878,-301,-266
-890,-301,-289
-890,-427,-304
-890,-427,-304
-941,-376,-302
-951,-253,-302
-951,-253,-301
-860,-253,-301
-860,-262,-299
-816,-220,-299
-816,-220,-287
-769,-220,-287
-769,-169,-269
-720,-158,-262
-720,-158,-262
-822,-283,-262
-822,-283,-305
-797,-656,-436
-797,-656,-436
-799,-604,-436
-799,-604,-544
-1364,-604,-544
-1364,272,-497
-1364,272,-497
-1412,482,-586
-1061,271,-586
-1061,271,-802
-952,271,-802
-952,200,-936
-1023,148,-936
-1023,148,-1060
-1146,148,-1060
-1146,260,-1030
-1212,206,-809
-1212,206,-809
-1253,27,-809
-1253,27,-855
-1119,22,-959
-1119,22,-959
-1114,70,-959
-1114,70,-683
-1256,-68,-373
-1256,-68,-373
-986,-160,-523
-986,-160,-523
-973,-18,-448
-1025,-18,-448
-1025,-80,-334
-1025,-80,-334
-829,-51,-334
-829,-51,-47
-753,-51,-47
-753,-28,-107
-544,9,74
-544,9,74
-584,-21,74
-584,-21,75
-576,0,-160
-576,0,-160
-645,122,-160
-645,122,-258
-645,274,-162
-645,274,-162
-740,491,-110
-645,524,-306
-583,524,-306
-583,356,-583
-583,356,-583
-645,415,-583
-672,399,-583
-672,399,-459
-809,399,-459
-809,2475,1450
-1338,-213,1450
-1338,-213,-1052
110,-213,-1052
110,42,-1250
-92,1140,-1241
-92,1140,-1241
-2104,651,-1241
-2104,651,-231
-1276,651,-231
-1276,1454,-1050
-1276,1454,-1050
-1332,427,-1285
-1224,427,-1285
-1224,817,-849
-1224,817,-849
-1766,951,-722
-1122,768,-722
-1122,768,-559
-846,768,-559
-846,629,-125
-460,503,-125
-460,503,324
-43,503,324
-43,138,407
232,-250,411
477,-329,278
477,-373,288
477,-373,288
487,-444,455
387,-444,455
387,-273,640
209,-273,640
209,-123,626
-94,-33,626
-94,-33,268
-757,-33,268
-757,83,-130
-757,83,-130
-2087,1445,-1291
-2087,1445,-1291
-2509,1071,-1291
-2821,1071,-1760
-2821,905,-1573
-2821,905,-1573
-2709,912,-1573
-2172,912,-1494
-2172,407,-1187
-2172,407,-1187
-1685,562,-963
-1243,736,-963
-1243,736,-709
-1115,736,-709
-1115,692,-369
-729,375,-369
-729,375,-139
-175,375,-139
-175,299,66
-172,292,157
-172,292,157
37,130,157
37,130,179
112,87,86
112,87,86
232,-83,86
231,-62,106
231,-62,106
179,-90,147
43,0,147
43,0,232
-108,0,232
-108,147,158
-208,182,158
-208,182,-9
-804,182,-9
-804,202,-221
-1077,367,-751
-1077,367,-751
-1513,1125,-751
-1513,1125,-1190
-1825,1412,-1072
-1825,1412,-1072
-1967,1268,-928
-1967,1268,-928
-1649,1336,-920
-1649,1336,-920
-1130,929,-840
-1130,929,-840
-978,877,-772
-883,877,-772
-883,767,-719
-883,767,-719
-678,599,-770
-612,585,-770
-612,585,-621
-437,585,-621
-437,416,-380
-437,416,-380
-335,280,-380
-335,280,-280
-287,362,-209
-287,362,-209
21,32,-102
21,32,-102
89,-82,-84
-40,-82,-84
-40,-119,67
-40,-119,67
-67,-75,164
-229,-75,164
-229,64,119
-229,64,119
-464,301,-190
-263,236,-190
-263,236,-587
-1266,236,-587
-1266,1442,-855
-1739,1209,-855
-1739,1209,-703
-910,1209,-703
-910,461,-718
-730,631,-838
-730,631,-838
-1362,968,-838
-1014,968,-1015
-1014,911,-1130
-1014,911,-1130
-852,33,-597
-852,33,-597
-89,33,-597
-89,163,-673
-89,163,-673
-188,144,-414
-645,604,-414
-645,604,-392
-419,604,-392
-419,-296,136
-185,-543,48
-185,-543,48
-537,-359,-352
-930,358,-79
-930,118,-171
-930,118,-171
-806,-132,-317
-806,-132,-265
-852,-132,-265
-852,-268,-182
-909,-289,-182
-909,-289,-262
-1028,-289,-262
-1028,-385,-402
-1028,-385,-402
-1184,-517,-493
-1184,-517,-493
-1436,-525,-493
-1538,-525,-514
-1538,-337,-585
-1538,-337,-585
-1604,-365,-621
-1522,-365,-621
-1522,-378,-667
-1522,-378,-667
-1414,-236,-866
-1321,-66,-866
-1321,-66,-1022
-1092,-66,-1022
-1092,-15,-997
-906,-58,-997
-906,-58,-924
-830,-137,-924
-830,-137,-674
-924,-121,-466
-924,-121,-466
-1059,-129,-466
-1059,-129,-300
-1100,-171,-211
-1100,-171,-211
-1085,-133,-216
-1085,-133,-216
-992,-228,-249
-878,-228,-249
-878,-346,-317
-878,-346,-317
-881,-368,-317
-881,-368,-361
