x,y,z
-956,-132,-272
-956,-132,-272
-968,-39,-303
-968,-39,-303
-947,16,-303
-947,16,-365
-948,16,-365
-948,19,-368
-948,19,-368
-960,19,-368
-960,19,-346
-938,19,-346
-938,37,-341
-938,37,-341
-932,91,-353
-932,91,-353
-937,91,-353
-937,91,-334
-951,91,-334
-951,73,-314
-951,73,-314
-952,48,-314
-950,51,-294
-950,51,-294
-955,60,-316
-935,119,-362
-946,119,-362
-946,150,-386
-946,150,-386
-964,198,-402
-985,198,-402
-985,281,-405
-985,281,-405
-978,317,-389
-963,318,-389
-963,318,-359
-958,318,-359
-958,340,-349
-939,338,-349
-939,338,-334
-892,345,-334
-892,345,-342
-871,325,-300
-871,325,-300
-842,341,-300
-804,341,-315
-804,371,-311
-804,371,-311
-767,334,-303
-767,334,-303
-732,370,-303
-732,370,-291
-688,370,-291
-688,366,-270
-688,323,-270
-688,323,-280
-650,323,-280
-650,363,-254
-673,384,-212
-673,384,-212
-641,369,-212
-626,369,-285
-626,215,-231
-626,215,-231
-681,316,-231
-663,316,-214
-663,376,-355
-663,376,-355
-737,485,-237
-868,554,-237
-868,554,-135
-876,554,-135
-876,539,-242
-806,479,-242
-806,479,-428
-739,479,-428
-739,312,-686
-739,312,-686
-1206,888,1551
-1206,888,1551
-1312,-510,1551
-610,-510,-1372
-610,310,-249
-610,310,-249
-1040,1520,-249
-1083,1520,-660
-1083,817,-469
-1083,817,-469
-823,575,-1345
-501,548,-1345
-501,548,-661
-684,548,-661
-684,514,-592
-522,368,-592
-522,368,-526
-414,368,-526
-414,212,-413
-316,146,-392
-316,146,-392
-238,125,-392
-238,125,-444
-384,347,-542
-384,347,-542
-489,393,-542
-489,393,-717
-664,652,-750
-664,652,-750
-848,961,-613
-848,961,-613
-496,592,-613
-496,592,-545
-315,592,-545
-315,114,-593
-350,218,-593
-350,218,-661
-672,218,-661
-672,656,-645
-780,768,-633
-780,768,-633
-547,548,-633
-547,548,-718
-448,414,-664
-448,414,-664
-487,403,-664
-487,403,-584
-486,361,-538
-486,361,-538
-391,304,-509
-391,304,-509
-717,467,-538
-611,467,-538
-611,398,-532
-611,398,-532
-653,392,-552
-625,392,-552
-625,281,-578
-614,281,-578
-614,325,-592
-748,450,-592
-748,450,-559
-815,450,-559
-815,453,-596
-815,453,-596
-770,510,797
-770,510,797
-867,66,-566
-585,66,-566
-585,315,-309
-585,315,-309
-847,77,6
-744,77,6
-744,135,-174
-744,135,-174
-722,287,-331
-692,141,-331
-692,141,-181
-775,141,-181
-775,135,-145
-867,230,-145
-867,230,-188
-834,230,-188
-834,105,-210
-918,201,-205
-918,201,-205
-1006,259,-205
-1017,259,-158
-1017,277,-175
-1017,277,-175
-1042,194,-175
-1042,194,-146
-1050,194,-146
-1050,117,-153
-1050,117,-153
-1089,94,-206
-1140,52,-206
-1140,52,-224
-1152,52,-224
-1152,65,-293
-1158,42,-293
-1158,42,-311
-1186,42,-311
-1186,21,-329
-1191,-45,-367
-1191,-45,-367
-1185,3,-367
-1145,3,-375
-1145,8,-358
-1145,8,-358
-1117,46,-329
-1128,46,-329
-1128,111,-214
-1113,111,-214
-1113,192,-316
-1044,233,-316
-1044,233,-270
-1112,233,-270
-1112,-74,-23
-947,-300,-36
-947,-300,-36
-810,-402,-36
-810,-402,-64
-884,-402,-64
-884,-369,-52
-884,-369,-52
-965,-330,-52
-1020,-330,-79
-1020,-140,56
-1020,-140,56
-1074,-99,77
-981,-81,77
-981,-81,43
-912,-81,43
-912,-250,86
-944,-282,86
-944,-282,84
-925,-282,84
-925,-205,-46
-831,-112,-135
-831,-112,-135
-876,-121,-135
-876,-121,-136
-870,-151,-69
-870,-151,-69
-908,-120,-69
-908,-120,-90
-895,-101,-68
-895,-101,-68
-918,-94,-28
-918,-94,-28
-969,-196,19
-962,-196,19
-962,-182,-1
-962,-182,-1
-934,-197,-1
-934,-197,10
-968,-197,10
-968,-247,82
-1039,-387,154
-1039,-387,154
-958,-320,154
-958,-320,-18
-835,-142,-60
-835,-142,-60
-827,-161,-60
-827,-161,-79
-860,-174,-130
-860,-174,-130
-960,-177,-53
-960,-177,-53
-959,-200,-40
-935,-200,-40
-935,-249,-41
-935,-249,-41
-984,-315,-6
-1082,-410,-6
-1082,-410,-14
-1147,-410,-14
-1147,-456,-45
-1016,-365,-45
-1016,-365,-82
-795,-365,-82
-795,-261,-99
-795,-261,-99
-661,-230,-79
-661,-230,-79
-688,-262,-10
-751,-262,-10
-751,-322,2
-751,-322,2
-801,-344,-37
-871,-344,-37
-871,-349,-130
-871,-349,-130
-932,-352,-196
-1010,-348,-196
-1010,-348,-234
-1063,-348,-234
-1063,-295,-252
-1075,-241,-252
-1075,-241,-276
-1060,-241,-276
-1060,-218,-307
-1021,-210,-335
-1021,-210,-335
-945,-196,-335
-856,-144,-290
-856,-157,-245
-887,-157,-245
-887,-184,-211
-887,-184,-211
-913,-217,-211
-913,-217,-206
-923,-217,-206
-923,-242,-239
-957,-274,-257
-957,-274,-257
-979,-176,-257
-1003,-176,-267
-1003,-97,-273
-1003,-97,-273
-1023,-56,-273
-1019,-56,-269
-944,-130,-307
-933,-222,-303
-933,-222,-289
-951,-263,-289
-951,-263,-285
-879,-229,-270
-879,-229,-270
-814,-185,-270
-814,-185,-261
-788,-156,-206
-788,-156,-206
-797,-166,-161
-797,-166,-161
-844,-218,-161
-844,-218,-140
-877,-218,-140
-877,-253,-227
-901,-199,-227
-901,-199,-268
-935,-199,-268
-935,-208,-284
-958,-236,-323
-958,-236,-323
-947,-204,-323
-947,-204,-348
-940,-163,-381
-940,-163,-381
-932,-147,-381
-932,-147,-363
-928,-140,-350
-928,-140,-350
-936,-130,-252
-936,-130,-252
-949,-172,-217
-932,-172,-217
-932,-228,-184
-932,-228,-184
-921,-254,-193
-891,-254,-193
-891,-238,-227
-891,-238,-227
-872,-241,-248
-869,-213,-248
-869,-213,-237
-881,-213,-237
-881,-229,-254
-881,-229,-254
-870,-231,-254
-870,-231,-251
-880,-228,-248
-880,-228,-248
-885,-217,-249
-885,-217,-249
-896,-212,-249
-912,-212,-249
-912,-197,-251
-912,-197,-251
-914,-196,-260
-917,-196,-260
-917,-199,-263
-917,-199,-263
-914,-194,-263
-913,-195,-263
-913,-195,-254
-911,-195,-254
-911,-200,-245
-908,-203,-245
