x,y,z
-917,273,-144
-917,273,-144
-917,270,-140
-917,270,-140
-915,263,-140
-915,263,-136
-914,263,-136
-914,266,-134
-914,266,-134
-917,266,-136
-917,266,-136
-911,265,-136
-911,265,-139
-911,265,-139
-911,265,-142
-911,265,-142
-911,265,-142
-911,265,-142
-914,264,-142
-916,264,-140
-916,268,-137
-916,268,-137
-917,269,-136
-912,264,-136
-912,264,-134
-914,264,-134
-914,258,-131
-914,258,-131
-917,255,-131
-917,255,-129
-916,261,-129
-917,261,-136
-917,265,-140
-917,265,-140
-910,267,-140
-904,267,-137
-904,268,-138
-920,268,-138
-920,257,-141
-919,263,-141
-919,263,-138
-915,263,-138
-915,269,-138
-910,273,-144
-910,273,-144
-907,271,-144
-907,271,-141
-912,268,-139
-912,268,-139
-910,275,-153
-910,275,-153
-912,303,-186
-955,303,-186
-955,331,-214
-955,331,-214
-925,364,-206
-925,364,-206
-825,418,-206
-825,418,-237
-725,495,-239
-725,495,-239
-796,542,-352
-796,542,-352
-809,520,-443
-861,520,-443
-861,494,-509
-861,494,-509
-757,565,-491
-736,577,-491
-736,577,-621
-804,577,-621
-804,594,-687
-779,528,-672
-779,528,-672
-786,493,-672
-850,493,-674
-850,475,-670
-850,475,-670
-837,488,-638
-809,480,-638
-809,480,-624
-746,480,-624
-746,463,-620
-682,475,-620
-682,475,-622
-691,451,-622
-691,451,-615
-681,451,-615
-681,464,-569
-681,464,-569
-696,445,-569
-642,445,-502
-642,378,-508
-617,378,-508
-617,297,-491
-590,288,-491
-590,288,-396
-603,376,-440
-603,376,-440
-573,426,-440
-560,276,-427
-551,276,-427
-551,370,-345
-551,370,-345
-488,196,-466
-546,196,-466
-546,217,-467
-457,217,-467
-457,317,-372
-479,641,-372
-479,641,-527
-506,641,-527
-506,563,-775
-748,271,-569
-748,271,-569
-3061,1507,-569
-3061,1507,-231
26,1507,-231
26,377,-1356
26,377,-1356
-803,1024,-1377
-581,2046,-1377
-581,2046,-681
-597,2046,-681
-597,1438,-570
-622,1012,-883
-622,1012,-883
-120,1042,-883
363,1042,-1016
363,935,-544
363,935,-544
-457,-561,-62
-366,-945,-62
-366,-945,-449
1,-945,-449
1,-168,-376
263,-202,-479
263,-202,-479
694,256,-419
694,256,-419
304,505,-639
406,625,-639
406,625,-1001
-205,625,-1001
-205,1133,-1362
-402,1102,-1237
-402,1102,-1237
-549,964,-1237
-549,964,-940
-393,891,-829
-393,891,-829
36,582,-735
36,582,-735
74,571,-671
95,571,-671
95,531,-522
95,531,-522
91,467,-404
34,428,-404
34,428,-415
35,428,-415
35,479,-588
-35,638,-588
-35,638,-780
-81,616,-780
-84,616,-781
-84,648,-731
-84,648,-731
-189,722,-731
-69,722,-734
-69,739,-789
-56,739,-789
-56,683,-841
-56,683,-841
-112,660,-841
-112,660,-846
-52,660,-846
-52,611,-694
-45,548,-692
-45,548,-692
-62,526,-692
-193,526,-627
-193,562,-599
-193,562,-599
-176,620,-664
-79,649,-664
-79,649,-693
-143,649,-693
-143,582,-549
-252,518,-521
-252,518,-521
-263,483,-521
-263,483,-548
-193,763,-649
-193,763,-649
-501,741,-471
-501,741,-471
-255,511,-444
-307,511,-444
-307,421,-244
-307,421,-244
-522,506,-203
-412,471,-203
-412,471,-195
-552,471,-195
-552,579,-137
-552,579,-137
-511,567,-194
-511,567,-194
-528,567,-168
-508,567,-168
-508,593,-166
-508,593,-166
-553,599,-196
-729,521,-196
-729,521,-285
-694,521,-285
-694,465,-383
-767,528,-383
-767,528,-387
-831,733,-387
-820,733,-379
-820,648,-398
-820,648,-398
-863,588,-398
-879,588,-479
-879,500,-553
-955,500,-553
-955,671,-548
-917,618,-548
-917,618,-520
-938,618,-520
-938,521,-485
-958,521,-485
-958,479,-466
-958,479,-466
-918,425,-466
-927,425,-432
-927,406,-371
-927,406,-371
-931,320,-398
-911,298,-398
-911,298,-366
-931,298,-366
-931,405,-389
-897,479,-368
-897,479,-368
-903,602,-368
-903,602,-339
-927,650,-289
-927,650,-289
-940,484,-275
-940,484,-275
-907,320,-285
-867,320,-285
-867,323,-266
-867,323,-266
-905,236,-237
-935,181,-237
-935,181,-208
-917,181,-208
-917,177,-167
-1000,146,-116
-1000,146,-116
-963,150,-116
-963,150,-128
-960,150,-128
-960,98,-136
-960,98,-136
-986,88,-110
-1013,97,-110
-1013,97,-84
-966,97,-84
-966,91,-81
-969,96,-81
-969,96,-45
-988,50,-45
-954,50,-40
-954,136,-60
-954,136,-60
-969,173,-60
-954,173,-97
-954,152,-116
-938,152,-116
-938,214,-109
-909,228,-109
-909,228,-98
-956,228,-98
-956,210,-100
-926,191,-105
-926,191,-105
-959,193,-105
-959,193,-114
-984,196,-112
-984,196,-112
-966,212,-103
-966,212,-103
-940,213,-103
-940,213,-103
-963,213,-103
-963,196,-104
-964,178,-101
-964,178,-101
-931,150,-101
-931,150,-104
-934,143,-102
-934,143,-102
-933,137,-98
-933,137,-98
-923,150,-81
-941,150,-81
-941,158,-54
-941,158,-54
-985,114,-52
-962,120,-52
-962,120,-55
-954,120,-55
-954,116,-80
-946,174,-90
-946,174,-90
-943,194,-90
-950,194,-95
-950,178,-100
-950,178,-100
-968,158,-101
-968,158,-101
-988,140,-101
-988,140,-97
-978,140,-97
-978,139,-91
-934,168,-91
-934,168,-108
-925,198,-108
-946,198,-110
-946,170,-105
-946,170,-105
-960,153,-105
-952,153,-106
-952,141,-98
-955,141,-98
-955,145,-85
-941,156,-85
-941,156,-99
-941,156,-99
-941,181,-114
-946,201,-127
-946,201,-127
-942,213,-127
-942,213,-123
-953,189,-119
-953,189,-119
-947,141,-107
-947,141,-107
-949,152,-98
-946,152,-98
-946,159,-89
-937,159,-89
-937,154,-91
-937,154,-91
