x,y,z
-891,324,241
-889,324,241
-889,388,248
-893,388,248
-893,390,278
-893,390,278
-886,459,278
-886,459,275
-855,459,275
-855,496,285
-855,496,285
-857,575,272
-857,575,272
-852,662,272
-852,662,272
-831,662,272
-831,654,300
-831,654,300
-782,593,245
-782,593,245
-804,639,245
-804,639,205
-806,639,205
-806,686,212
-787,658,179
-787,658,179
-758,602,179
-737,602,151
-737,593,95
-737,593,95
-778,711,94
-732,667,94
-732,667,99
-691,667,99
-691,661,81
-669,674,59
-669,674,59
-661,672,59
-661,672,33
-666,671,-2
-666,671,-2
-645,662,41
-627,662,41
-627,655,28
-618,629,5
-618,629,5
-620,626,5
-620,626,-27
-631,752,34
-631,752,34
-602,705,15
-602,705,15
-626,777,22
-559,777,22
-559,661,30
-559,661,30
-570,634,31
-551,611,31
-551,611,62
-566,611,62
-566,637,117
-574,714,175
-574,714,175
-565,684,175
-572,684,139
-572,656,123
-572,656,123
-583,880,0
-1096,-365,0
-632,784,-145
-632,784,-145
-773,1632,-145
-857,1632,31
-857,1119,342
-857,1119,342
-999,593,477
-943,1180,477
-943,1180,412
-975,1180,412
-975,1474,231
-1127,2030,106
-1127,2030,106
-901,1505,106
-901,1505,265
-547,1278,27
-547,1278,27
-402,1294,4
-402,1294,4
9,370,64
94,370,64
94,-510,-211
94,-510,-211
69,-1977,-57
-142,-1676,-57
-142,-1676,-238
-58,-1676,-238
-58,-634,-373
246,122,144
246,122,144
540,1022,144
-515,1022,393
-515,2493,298
-515,2493,298
-651,1874,1038
-651,1874,1038
-1440,2057,1038
-1440,2057,774
-1078,2057,774
-1078,1904,581
-34,1231,581
-34,1231,460
683,1296,460
666,1296,335
666,578,329
666,578,329
-62,467,329
-382,467,239
-382,420,258
-292,420,258
-292,285,264
273,396,264
273,396,149
-450,396,149
-450,301,130
-480,779,275
-480,779,275
-490,1422,275
-490,1422,580
-476,1452,659
-140,1452,659
-140,1172,507
-140,1172,507
-182,1126,507
-182,1126,524
-154,1126,524
-154,866,659
-190,682,521
-190,682,521
-72,671,521
-72,671,494
-103,677,445
-103,677,445
