x,y,z
-587,-544,-544
-584,-544,-544
-584,-543,-536
-584,-543,-536
-589,-539,-536
-589,-539,-533
-596,-539,-533
-596,-540,-536
-596,-540,-536
-592,-544,-538
-592,-544,-538
-586,-549,-538
-586,-549,-537
-588,-549,-537
-588,-549,-527
-588,-549,-527
-586,-553,-527
-586,-553,-524
-593,-553,-524
-593,-549,-527
-593,-549,-527
-594,-541,-527
-594,-541,-527
-591,-544,-524
-587,-544,-524
-587,-544,-512
-587,-544,-512
-597,-545,-524
-584,-545,-524
-584,-548,-538
-582,-548,-538
-582,-547,-537
-584,-551,-537
-584,-551,-531
-592,-551,-531
-592,-546,-540
-584,-541,-543
-584,-541,-543
-593,-540,-543
-592,-540,-531
-592,-547,-527
-592,-547,-527
-585,-555,-527
-585,-555,-533
-573,-555,-533
-573,-548,-538
-573,-548,-538
-591,-533,-536
-580,-557,-536
-580,-557,-527
-584,-557,-527
-584,-548,-536
-595,-542,-536
-595,-542,-534
-586,-542,-534
-586,-561,-540
-572,-544,-527
-572,-544,-527
-597,-545,-527
-594,-545,-502
-594,-557,-517
-594,-557,-517
-578,-558,-517
-591,-558,-529
-591,-532,-537
-591,-532,-537
-587,-549,-534
-593,-547,-534
-593,-547,-545
-576,-547,-545
-576,-553,-593
-560,-510,-593
-560,-510,-719
-595,-475,-719
-595,-475,-782
-638,-475,-782
-700,-307,-875
-700,-297,-971
-700,-297,-971
-663,-322,-1035
-663,-322,-952
-745,-322,-952
-745,-227,-1002
-708,-253,-1002
-708,-253,-1025
-692,-253,-1025
-692,-288,-1005
-691,-294,-909
-691,-294,-909
-751,-208,-909
-751,-208,-940
-784,-56,-939
-784,-56,-939
-793,-207,-939
-793,-207,-864
-722,-194,-829
-722,-194,-829
-730,-196,-775
-730,-196,-775
-818,-99,-679
-705,-99,-679
-705,-236,-731
-705,-236,-731
-695,-245,-568
-695,-245,-568
-773,-41,-568
-773,-41,-532
-718,-78,-575
-718,-78,-575
-616,-193,-575
-616,-193,-490
-637,-70,-276
-637,-70,-276
-573,15,-80
-573,15,-80
-542,-52,53
-475,-52,53
-475,-62,-1
-475,-62,-1
-410,-380,-267
-426,-380,-267
-426,-584,-652
-426,-584,-652
-1425,2188,2856
672,-597,2856
672,-597,703
-877,-597,703
-877,1165,-1822
-1652,1202,-1822
-1652,1202,-1679
-1226,1202,-1679
-1226,773,-1351
-1226,773,-1351
-831,513,-2086
-831,513,-2086
-905,-37,-2406
-1024,-37,-2406
-1024,-278,-2383
-1024,-278,-2383
-149,-606,-1006
792,-606,-1006
792,-685,379
1097,-685,379
1097,-667,1099
618,-61,1099
618,-61,1856
-247,-61,1856
-247,483,2739
-1022,544,1985
-1022,544,1985
-669,-429,1985
-1343,-429,-1111
-1343,-103,-3444
-1343,-103,-3444
-3052,-408,-3444
-2273,-408,-3924
-2273,-26,-3438
-2273,-26,-3438
-3049,1272,-1807
724,1650,-1807
724,1650,1381
-1083,1650,1381
-1083,356,1844
-1083,356,1844
-154,-1375,1844
-154,-1375,260
218,-1375,260
218,-1377,-1054
300,-1024,-516
300,-1024,-516
-72,-233,-516
-595,-233,258
-595,650,-345
-595,650,-345
-674,316,-345
-1656,316,-2869
-1656,475,-3164
-1656,475,-3164
-1167,727,-1182
-189,-221,-1182
-189,-221,-1122
-283,-221,-1122
-283,-654,-412
-129,-513,-412
-129,-513,-232
-352,-125,-232
-352,-125,-207
-249,27,-320
-249,27,-320
-441,25,-320
-441,25,-781
-555,-119,-959
-555,-119,-959
-654,-75,-861
-654,-75,-861
-785,86,-861
-785,86,-771
-731,86,-771
-731,130,-798
-775,99,-798
-775,99,-758
-677,99,-758
-677,-23,-729
-639,-101,-615
-639,-101,-615
-549,5,-615
-549,5,-531
-578,-72,-422
-578,-72,-422
-807,280,-422
-807,280,-429
-600,-47,-210
-600,-47,-210
-280,-354,-148
-280,-354,-148
-532,-129,-302
-575,-129,-302
-575,-130,-344
-575,-130,-344
-685,-45,-188
-724,-45,-188
-724,79,-261
-724,79,-261
-786,81,-253
-786,81,-253
-734,72,-253
-734,72,-296
-795,80,-263
-795,80,-263
-718,41,-263
-718,41,-431
-730,-25,-396
-785,-145,-420
-855,-145,-420
-855,-34,-447
-909,-18,-413
-876,-141,-413
-876,-141,-427
-977,-141,-427
-977,-162,-285
-1086,-135,-285
-1086,-135,-347
-1142,-135,-347
-1142,-94,-499
-1187,-88,-524
-1187,-88,-524
-1245,-210,-524
-1205,-210,-335
-1205,-101,-412
-1205,-101,-412
-1083,-128,-438
-969,-128,-438
-969,-269,-463
-952,-269,-463
-952,-343,-380
-948,-405,-380
-948,-405,-289
-871,-405,-289
-871,-428,-264
-888,-381,-394
-888,-381,-394
-873,-361,-394
-849,-361,-428
-849,-458,-373
-849,-458,-373
-912,-487,-373
-911,-487,-383
-911,-501,-505
-911,-501,-505
-875,-504,-611
-906,-443,-611
-906,-443,-612
-1051,-443,-612
-1051,-463,-562
-1006,-511,-562
-1006,-511,-582
-1007,-511,-582
-1007,-459,-640
-939,-391,-604
-939,-391,-604
-848,-426,-604
-848,-426,-503
-795,-426,-503
-795,-340,-397
-795,-340,-397
-922,-318,-397
-822,-318,-306
-822,-393,-300
-822,-393,-300
-706,-457,-284
-659,-446,-284
-659,-446,-267
-671,-446,-267
-671,-426,-193
-690,-414,-193
-690,-414,-214
-702,-414,-214
-702,-433,-274
-733,-516,-296
-750,-574,-400
-755,-517,-476
-765,-517,-476
-765,-522,-401
-765,-522,-401
-754,-527,-344
-760,-527,-344
-760,-503,-294
-760,-503,-294
-751,-481,-259
-751,-481,-259
-771,-448,-259
-771,-448,-236
-771,-433,-252
-771,-433,-252
-745,-452,-252
-745,-452,-238
-738,-473,-286
-738,-473,-286
-752,-452,-306
-752,-452,-306
-783,-443,-328
-780,-443,-328
-780,-458,-360
-780,-458,-360
-782,-464,-368
-777,-464,-368
-777,-489,-400
-765,-489,-400
-765,-484,-410
-785,-463,-410
-785,-463,-395
-779,-463,-395
-779,-458,-417
-758,-467,-409
-758,-467,-409
-766,-457,-409
-766,-457,-408
-761,-457,-408
-761,-462,-378
-761,-462,-378
-763,-472,-379
-746,-472,-379
-746,-481,-398
-746,-481,-398
-751,-470,-405
-749,-464,-405
-749,-464,-381
-761,-464,-381
-761,-496,-395
-730,-493,-395
-730,-493,-380
-750,-493,-380
-750,-481,-377
-732,-490,-374
-732,-490,-374
-744,-479,-374
-756,-479,-367
-756,-474,-367
-756,-474,-367
-756,-486,-367
-746,-486,-367
-746,-492,-360
-746,-492,-360
-741,-494,-356
-745,-481,-356
-745,-481,-347
-769,-481,-347
-769,-484,-326
-769,-484,-326
-752,-490,-326
-752,-490,-353
-756,-472,-353
-756,-472,-348
-764,-457,-340
-764,-457,-340
-763,-503,-340
-753,-503,-355
-753,-477,-363
-753,-477,-363
-769,-463,-368
-755,-471,-368
-755,-471,-375
-759,-471,-375
-759,-478,-354
-766,-487,-354
-766,-487,-362
-762,-487,-362
-764,-457,-383
-767,-444,-369
-803,-410,-329
-777,-410,-329
-777,-459,-383
-777,-459,-383
-638,-590,-383
-638,-590,-427
-707,-590,-427
-707,-523,-388
-817,-418,-371
-817,-418,-371
-806,-429,-371
-806,-429,-376
-738,-497,-382
-738,-497,-382
-770,-453,-382
-770,-453,-354
-777,-449,-318
