x,y,z
-899,284,-99
-899,284,-101
-899,284,-101
-898,285,-101
-898,285,-96
-900,285,-96
-900,286,-101
-901,286,-101
-901,282,-99
-901,282,-99
-904,285,-99
-904,285,-102
-904,285,-102
-904,291,-101
-904,291,-101
-904,297,-101
-904,297,-98
-903,291,-98
-903,291,-96
-899,291,-96
-899,282,-91
-899,282,-91
-900,284,-91
-902,284,-95
-902,290,-100
-902,290,-100
-905,296,-105
-903,294,-105
-903,294,-102
-899,294,-102
-899,286,-98
-900,278,-98
-900,278,-101
-900,278,-101
-900,287,-102
-900,287,-102
-900,290,-108
-900,290,-108
-904,286,-108
-905,286,-99
-905,282,-97
-905,282,-97
-905,280,-97
-905,280,-98
-905,281,-97
-905,281,-97
-904,285,-99
-905,286,-99
-905,286,-103
-904,286,-103
-904,283,-101
-906,283,-104
-899,287,-103
-899,287,-103
-898,284,-103
-898,284,-102
-900,287,-105
-900,287,-105
-900,291,-101
-900,291,-101
-901,292,-104
-903,292,-104
-903,287,-103
-903,287,-103
-903,290,-103
-903,290,-100
-902,290,-100
-902,287,-100
-902,287,-100
-902,287,-100
-902,286,-100
-902,286,-100
-901,288,-104
-901,288,-104
-901,285,-104
-901,285,-105
-900,289,-102
-900,289,-102
-900,287,-103
-900,287,-103
-900,285,-104
-900,285,-104
-900,285,-110
-900,285,-110
-904,291,-101
-901,293,-101
-901,293,-102
-902,293,-102
-902,286,-97
-895,279,-97
-895,279,-102
-889,279,-102
-889,280,-104
-889,282,-93
-889,282,-93
-913,263,-93
-913,263,-43
-915,263,-43
-915,383,-29
-915,383,-29
-969,672,39
-945,672,39
-945,866,-25
-945,866,-25
-894,1005,-171
-866,1203,-171
-866,1203,-127
-826,1203,-127
-826,1209,-86
-729,1111,-86
-729,1111,-122
-646,1111,-122
-646,1034,-156
-540,1173,-228
-540,1173,-228
-451,993,-228
-451,993,-239
-451,923,-229
-451,923,-229
-470,847,-229
-468,847,-272
-468,705,-276
-468,705,-276
-508,617,-222
-508,617,-222
-560,591,-222
-560,591,-246
-615,591,-246
-615,444,-184
-634,475,-184
-634,475,-183
-633,475,-183
-633,503,-111
-600,645,-21
-600,645,-21
-584,805,-21
-1542,805,239
-1542,-882,921
-1542,-882,921
-763,879,-438
-673,1364,-438
-673,1364,-292
-1489,1364,-292
-1489,1846,189
-980,2172,189
-980,2172,178
-2994,2172,178
-2994,3130,-853
594,710,331
594,710,331
536,598,331
536,598,-271
681,-912,-986
681,-912,-986
359,-770,-986
359,-770,-707
122,-770,-707
122,1092,186
122,1092,186
-532,2053,1163
-758,1897,1163
-758,1897,1559
-617,1897,1559
-617,1333,463
-211,429,463
-211,429,-508
-49,429,-508
-49,353,-443
-193,1033,170
-193,1033,170
-477,1287,170
-477,1287,630
-438,1007,547
-438,1007,547
-288,852,386
-288,852,386
-309,884,273
-331,884,273
-331,934,234
-331,934,234
-323,862,269
-316,862,269
-316,787,306
-316,787,306
-318,750,293
-285,662,293
-285,662,298
-276,662,298
-276,600,257
-276,600,257
-250,737,257
-250,737,201
-364,582,192
-364,582,192
-370,370,205
-370,370,205
-549,501,154
-343,501,154
-343,370,182
-343,370,182
-455,412,215
-533,412,215
-533,78,284
-533,78,284
-808,347,330
-817,349,330
-817,349,256
-889,349,256
-889,378,172
-950,495,172
-950,495,144
-1054,495,144
-1054,444,81
-1090,445,100
-1090,445,100
-1138,486,100
-1138,486,43
-1160,486,43
-1160,456,-18
-1160,456,-18
-1161,425,-52
-1142,425,-52
-1142,422,-87
-1142,422,-87
-1111,407,-98
-1046,387,-98
-1046,387,-125
-1009,387,-125
-1009,468,-149
-965,490,-149
-965,490,-143
-975,523,-143
-975,523,-143
-938,525,-143
-938,525,-143
-903,497,-143
-889,497,-147
-889,483,-133
-889,483,-133
-873,473,-102
-878,471,-102
-878,471,-77
-892,471,-77
-892,492,-79
-870,512,-79
-870,512,-70
-878,512,-70
-878,524,-67
-878,524,-67
-890,522,-64
-890,522,-64
-912,489,-64
-923,489,-45
-923,433,-54
-923,433,-54
-941,379,-54
-953,379,-70
-953,264,-52
-953,264,-52
-964,99,-4
-990,178,-4
-990,178,-42
-940,178,-42
-940,231,-100
-917,234,-100
