x,y,z
-940,134,-114
-940,134,-114
-967,156,-114
-967,156,-114
-953,162,-114
-953,162,-105
-960,162,-105
-960,166,-111
-960,166,-111
-953,151,-117
-953,151,-117
-972,159,-117
-972,159,-119
-975,159,-119
-975,167,-118
-975,167,-118
-970,162,-129
-970,162,-129
-957,149,-129
-949,149,-132
-949,138,-141
-949,138,-141
-956,142,-142
-951,150,-142
-951,150,-147
-945,150,-147
-945,143,-146
-932,143,-143
-932,143,-143
-921,141,-143
-923,141,-136
-923,142,-141
-923,142,-141
-938,139,-146
-946,135,-146
-946,135,-149
-954,169,-123
-954,169,-123
-947,171,-123
-945,170,-97
-953,170,-97
-953,171,-97
-966,152,-102
-967,152,-102
-967,118,-100
-972,118,-100
-972,113,-100
-963,118,-100
-963,118,-103
-956,118,-103
-954,124,-111
-954,131,-120
-954,131,-120
-954,136,-120
-968,136,-122
-968,133,-121
-976,133,-121
-976,138,-115
-976,138,-115
-963,129,-115
-963,129,-108
-950,146,-108
-938,146,-107
-938,180,-103
-938,180,-103
-934,204,-103
-944,204,-66
-944,218,-65
-953,218,-65
-953,252,-74
-958,277,-74
-958,277,-77
-964,276,-77
-966,274,-68
-966,274,-68
-947,274,-68
-947,274,-58
-965,324,-45
-979,324,-45
-979,350,-62
-979,350,-62
-976,351,-93
-954,385,-82
-973,336,-98
-973,336,-98
-913,387,-101
-957,387,-101
-957,404,-143
-957,404,-143
-963,423,-120
-965,405,-120
-965,405,-115
-947,405,-115
-947,352,-133
-888,458,-176
-888,458,-176
-917,672,-176
-908,672,-249
-908,591,-191
-908,591,-191
-854,587,-221
-777,561,-221
-777,561,-193
-755,561,-193
-755,546,-161
-727,548,-166
-727,548,-166
-643,522,-166
-643,522,-186
-604,478,-182
-604,478,-182
-601,609,-254
-601,609,-284
-588,609,-284
-606,509,-325
-606,509,-325
-598,840,-325
-598,840,-510
-588,736,-570
-588,736,-570
-565,619,-658
-565,619,-658
-548,795,-759
-937,795,-759
-937,-942,1285
-1107,20,-728
-1069,-212,-728
-1069,-212,-454
-868,-212,-454
-868,1589,-606
-1103,1304,-505
-1103,1304,-505
-1058,915,-505
-1016,915,-53
-1016,1407,-396
-1016,1407,-396
-1022,1705,-451
-1070,1576,-451
-1070,1576,-172
-833,1576,-172
-833,1004,70
-833,1004,70
-711,462,52
-711,462,52
-464,52,52
-157,52,-9
-157,-581,6
-157,-581,6
235,-1074,-34
466,-1105,-34
466,-1105,51
-46,-1105,51
-46,-747,192
-6,-139,8
-6,-139,8
-472,1935,8
-472,1935,-111
-853,2433,-408
-853,2433,-408
-878,1847,-683
-878,1847,-683
-775,1532,-818
-740,1532,-818
-740,1303,-483
-740,1303,-483
-657,753,-110
-447,611,-110
-447,611,-25
-376,611,-25
-376,660,-72
-376,660,-72
-203,674,-87
-203,674,-87
-269,705,-127
-343,705,-127
-343,818,-86
-343,818,-86
-373,944,-141
-368,804,-141
-368,804,-136
-448,804,-136
-448,786,-142
-339,838,-187
-339,838,-187
-455,808,-187
-447,808,-154
-447,752,-156
-447,752,-156
-341,804,-135
-390,815,-135
-390,815,-100
-359,815,-100
-359,817,-43
-535,1021,-2
-535,1021,-2
-353,898,-2
-353,898,-244
-543,760,-58
-543,760,-58
-654,584,-87
-654,584,-87
-583,443,-87
-583,443,-203
-546,443,-203
-546,285,-245
-761,245,-166
-761,245,-166
-744,144,-166
-744,144,-149
-691,30,-181
-691,30,-181
-729,-33,-295
-729,-33,-295
-811,-83,-341
-949,-83,-341
-949,-58,-237
-949,-58,-237
-1097,-47,-132
-1188,-2,-132
-1188,-2,-171
-1269,-2,-171
-1269,33,-322
-1449,34,-384
-1449,34,-384
-1596,115,-384
-1623,115,-377
-1623,-3,-410
-1623,-3,-410
-1728,131,-340
-1672,694,-340
-1672,694,-416
-1260,694,-416
-1260,490,-393
-1260,490,-393
-1242,456,-283
-1242,456,-283
-1373,413,-283
-1262,413,-240
-1262,367,-212
-1262,367,-212
-1141,328,-232
-1097,314,-232
-1097,314,-279
-1043,314,-279
-1043,330,-289
-1001,299,-262
-1001,299,-262
-914,301,-262
-914,301,-242
-853,309,-195
-853,309,-195
-930,290,-166
-958,290,-166
-958,332,-141
-943,361,-127
-922,471,-127
-922,471,-94
-1009,471,-94
-1009,362,-80
-1009,362,-80
-894,342,-52
-894,342,-52
-971,332,-53
-1045,332,-53
-1045,307,-84
-1045,307,-84
-1162,261,-113
-1225,173,-113
-1225,173,-144
-1235,173,-144
-1235,162,-178
-1250,105,-195
-1250,105,-195
-1257,71,-195
-1230,71,-188
-1230,66,-178
-1230,66,-178
-1232,72,-190
-1178,68,-190
-1178,68,-197
-1125,68,-197
-1125,54,-209
-1057,54,-206
-1057,54,-206
-1011,58,-206
-1011,58,-168
-931,97,-154
-931,97,-154
-931,99,-170
-931,99,-170
-867,58,-170
-867,58,-171
-820,58,-171
-820,71,-173
-822,44,-156
-822,44,-156
-820,59,-156
-820,59,-165
-822,60,-159
-822,60,-159
-844,72,-159
-844,72,-159
-859,101,-155
-874,101,-155
-874,131,-148
-874,131,-148
-894,151,-138
-929,172,-138
-929,172,-114
-935,172,-114
-935,218,-78
-1022,146,-75
-1022,146,-75
-1050,104,-75
-1066,104,-94
-1066,119,-104
-1066,119,-104
-1027,114,-85
-1029,151,-85
-1029,151,-67
-1009,151,-67
-1009,192,-57
-1009,192,-57
-1026,241,-26
-951,200,-56
-951,251,-47
-1022,251,-47
-986,223,-50
-986,223,-62
-971,223,-62
-971,211,-41
-927,182,-50
-927,182,-50
-970,176,-50
-970,176,-55
-974,171,-62
-988,171,-62
-988,148,-70
-988,148,-70
-980,140,-90
-968,140,-90
-968,130,-110
-958,130,-110
-958,132,-114
-962,132,-114
-962,132,-121
-952,146,-121
-991,146,-123
-991,136,-133
-991,136,-133
-991,128,-133
-991,128,-155
-1003,128,-155
-1003,125,-174
-1004,125,-174
-1004,129,-162
-897,136,-162
-897,136,-110
-936,159,-110
-913,159,-89
-913,147,-91
-913,147,-91
-911,103,-91
-878,103,-88
-878,57,-98
-887,57,-98
-887,19,-117
-935,2,-117
-935,2,-134
-901,89,-125
-901,89,-125
-897,157,-115
-895,199,-107
-906,199,-107
-906,236,-104
-906,236,-104
-927,252,-97
-927,252,-97
-952,253,-97
-991,232,-108
-991,232,-108
-1025,207,-110
-1057,197,-119
-1053,169,-131
-1046,159,-131
-1046,159,-125
-1027,159,-125
-1027,170,-115
-1001,209,-114
-1001,209,-114
-976,213,-114
-958,213,-110
-958,236,-103
-958,236,-103
