x,y,z
-759,39,-577
-770,44,-569
-770,44,-569
-773,39,-569
-773,39,-563
-770,39,-563
-770,30,-565
-770,30,-565
-773,36,-575
-773,36,-575
-763,29,-575
-763,29,-577
-759,29,-577
-759,32,-569
-759,32,-569
-757,42,-562
-757,42,-562
-746,22,-562
-746,22,-578
-732,22,-578
-732,2,-595
-732,2,-595
-730,3,-583
-762,19,-583
-762,19,-575
-770,19,-575
-770,33,-580
-768,56,-572
-768,56,-572
-779,69,-572
-779,69,-560
-779,72,-550
-779,72,-550
-775,73,-559
-775,73,-559
-771,68,-562
-765,68,-562
-765,61,-560
-765,61,-560
-764,61,-561
-760,56,-561
-760,56,-573
-755,56,-573
-755,40,-582
-740,19,-582
-740,19,-606
-726,40,-606
-726,40,-593
-766,40,-593
-766,35,-549
-766,35,-549
-798,72,-573
-770,56,-573
-770,56,-561
-752,56,-561
-752,75,-606
-759,131,-606
-759,131,-608
-775,287,-608
-839,287,-615
-839,327,-647
-839,327,-647
-745,458,-647
-762,458,-785
-762,602,-726
-813,602,-726
-813,709,-718
-829,777,-718
-829,777,-830
-870,777,-830
-870,813,-806
-883,724,-889
-883,724,-889
-760,647,-889
-760,647,-967
-653,647,-967
-653,611,-961
-653,611,-961
-614,731,-842
-709,737,-842
-709,737,-844
-662,737,-844
-662,668,-820
-558,426,-871
-558,426,-871
-510,376,-871
-510,376,-761
-429,463,-668
-429,463,-668
-476,477,-472
-476,477,-472
-483,497,-394
-432,497,-394
-432,409,-362
-432,409,-362
-396,296,-258
-296,-141,-258
-296,-141,-189
-199,-141,-189
-199,-173,-347
-591,438,-109
-591,438,-109
-553,537,-109
-662,537,-470
-662,446,-527
-662,446,-527
-1445,239,347
-1445,239,347
-1055,49,347
-1055,49,-181
-2269,49,-181
-2269,466,-1071
286,767,784
286,767,784
-695,518,784
-1316,518,-602
-1316,579,-354
-1316,579,-354
-1005,968,-234
-1141,996,-234
-1141,996,-530
-873,996,-530
-873,1048,-660
-990,1010,-582
-990,1010,-582
-938,718,-582
-938,718,-294
-872,738,-251
-872,738,-251
-652,729,5
-652,729,5
-237,464,38
229,464,38
229,-20,81
229,-20,81
380,-264,92
609,-313,92
609,-313,113
357,-313,113
357,-205,384
357,-205,384
115,-193,427
115,-193,427
17,-110,287
-70,-110,287
-70,255,170
-70,255,170
-1094,1037,178
-2500,2287,178
-2500,2287,-315
-2452,2287,-315
-2452,3084,-537
-1853,2192,-298
-1853,2192,-298
-1080,1205,-298
-311,1205,-120
-311,538,131
-311,538,131
124,-166,201
400,-491,201
400,-491,157
387,-491,157
387,-521,171
467,-299,171
467,-299,-48
164,380,-48
164,380,185
-1529,1746,-10
-1529,1746,97
-1449,1746,97
-1449,1446,101
-1170,1181,-61
-1170,1181,-61
-778,632,-61
-778,632,-291
-330,145,-421
-330,145,-421
97,-22,-559
97,-22,-559
144,93,-391
-292,93,-391
-292,479,-17
-292,479,-17
-815,814,228
-921,1106,228
-921,1106,316
-903,1106,316
-903,1072,319
-856,924,319
-856,924,309
-831,779,309
-718,779,336
-718,639,172
-718,639,172
-514,514,21
-514,514,21
-510,495,21
-510,495,-32
-560,495,-32
-560,524,-47
-655,619,-47
-655,619,0
-729,724,0
-758,724,13
-758,760,35
-758,760,35
-752,746,35
-719,746,28
-719,669,-5
-661,669,-5
-661,674,6
-671,662,6
-671,662,11
-646,622,11
-646,622,6
-615,620,-7
-615,620,-7
-633,592,-7
-633,592,17
