x,y,z
-824,168,-437
-824,151,-413
-824,151,-413
-824,133,-403
-824,133,-403
-825,113,-403
-825,113,-407
-830,113,-407
-830,110,-410
-830,110,-410
-821,99,-419
-821,99,-419
-785,100,-419
-785,100,-439
-763,100,-439
-763,100,-446
-763,100,-446
-761,97,-464
-761,97,-464
-771,69,-464
-771,69,-459
-789,69,-459
-789,59,-466
-827,61,-466
-827,61,-473
-880,53,-473
-880,53,-480
-886,86,-490
-886,86,-490
-837,132,-490
-837,132,-490
-809,171,-483
-809,171,-483
-804,190,-467
-804,190,-467
-835,198,-448
-866,198,-448
-866,194,-465
-866,194,-465
-839,187,-487
-809,195,-487
-809,195,-513
-793,195,-513
-793,187,-515
-802,183,-521
-802,183,-521
-835,166,-521
-835,166,-526
-855,166,-526
-855,150,-535
-855,150,-535
-849,144,-535
-844,140,-535
-844,140,-541
-825,140,-541
-825,145,-531
-839,174,-531
-839,174,-505
-854,192,-505
-846,192,-487
-846,207,-466
-846,207,-466
-834,221,-466
-816,221,-449
-816,215,-433
-816,215,-433
-800,193,-418
-815,177,-418
-815,177,-390
-848,177,-390
-848,159,-394
-878,137,-395
-878,137,-395
-922,130,-395
-922,130,-416
-910,148,-443
-910,148,-443
-860,211,-448
-860,211,-448
-832,248,-448
-832,248,-459
-823,248,-459
-807,255,-501
-807,255,-543
-910,296,-543
-910,296,-428
-964,357,-432
-964,357,-432
-919,350,-432
-919,350,-462
-860,407,-451
-860,407,-451
-845,473,-347
-845,473,-347
-854,527,-242
-908,527,-242
-908,492,-154
-908,492,-154
-811,585,-335
-658,584,-335
-658,584,-403
-704,584,-403
-704,565,-311
-755,595,-255
-755,595,-255
-735,581,-255
-707,581,-300
-707,510,-357
-707,510,-357
-644,485,-422
-644,485,-422
-623,376,-422
-623,376,-466
-617,376,-466
-617,454,-422
-639,476,-422
-639,476,-360
-640,542,-360
-640,542,-395
-558,637,-456
-558,637,-456
-577,820,-456
-583,820,-373
-583,1015,-272
-583,1015,-272
-572,1179,-174
-543,1189,-174
-543,1189,-265
-453,1189,-265
-453,1118,-327
-421,1122,-330
-421,1122,-330
-496,1065,-330
-496,1065,-339
-451,1040,-199
-451,1040,-199
-273,988,-514
-273,988,-514
-438,633,-514
-438,633,-274
-540,633,-274
-540,563,-182
-382,514,-182
-378,509,-244
-378,509,-244
-376,632,-244
-243,887,83
-270,887,83
-270,666,-23
-270,666,-23
-287,811,-140
-362,811,-140
-362,169,-513
-431,169,-513
-431,-46,-229
-776,682,-229
-776,682,-803
73,682,-803
73,1689,-1263
-295,1443,-31
-295,1443,-31
-325,1841,-31
-145,1841,-699
-145,1230,-568
-145,1230,-568
-3,1482,-768
-3,1482,-768
-211,1067,-768
-211,1067,-673
-260,1067,-673
-260,953,-578
-221,639,-449
-221,639,-449
-37,187,-449
139,187,-561
139,-60,-509
139,-60,-509
23,-76,-509
-41,-76,-148
-41,-129,197
26,-129,197
26,66,298
-11,351,298
-11,351,-64
-117,351,-64
-117,957,-1173
-192,1516,-1414
-192,1516,-1414
-411,2274,-1414
-411,2274,-875
-481,2750,-426
-481,2750,-426
-213,1990,-995
-213,1990,-995
-92,1103,-1063
-123,1103,-1063
-123,577,-485
-123,577,-485
-46,122,-159
-46,122,-159
69,-386,-159
69,-386,-5
109,-431,131
109,-431,131
76,-500,131
76,-500,207
-6,-136,209
-236,-136,209
-236,693,-73
-236,693,-73
-407,1525,-1136
-614,1525,-1136
-614,2361,-1391
-614,2361,-1391
-816,2759,-874
-827,2341,-874
-827,2341,-871
-630,2341,-871
-630,1683,-1142
-299,641,-656
-299,641,-656
71,-218,-656
513,-218,273
513,-691,864
513,-691,864
363,-756,852
363,-756,852
247,-647,852
247,-647,565
-68,-647,565
-68,-278,116
-301,391,-1231
-301,391,-1231
-877,2247,-1231
-1200,2247,-2030
-1200,2631,-2135
-1200,2631,-2135
-1038,2418,-2135
-773,2418,-1486
-773,1854,-1089
-160,1854,-1089
-160,697,-144
506,-16,-144
506,-16,665
492,-16,665
492,-322,727
64,-317,458
64,-317,458
-125,-510,458
-125,-510,-489
-481,-340,-1170
-481,-340,-1170
-885,934,-1513
-885,934,-1513
-1104,1550,-1472
-695,1550,-1472
-695,1704,-1148
-695,1704,-1148
-608,1990,-725
-608,1990,-725
-170,1514,-725
-170,1514,-103
36,619,258
36,619,258
474,60,258
474,60,435
218,-197,335
45,-197,335
45,-107,-51
45,-107,-51
-340,-73,-676
-638,-73,-676
-638,377,-1266
-849,377,-1266
-849,1545,-1324
-793,1788,-1324
-793,1788,-1369
-793,1788,-1369
-793,1685,-1213
-663,1619,-554
-663,1619,-554
-156,997,-554
485,997,-80
485,11,683
485,11,683
300,-250,765
-27,-17,765
-27,-17,-60
-234,-17,-60
-234,16,-999
-234,16,-999
-635,1038,-999
-635,1038,-1471
-979,1608,-1471
-1143,1608,-1506
-1143,1462,-1417
-1143,1462,-1417
-705,1234,-1417
-184,1234,-848
-184,784,-79
361,784,-79
361,161,405
201,279,405
201,279,236
-75,279,236
-75,480,-58
-293,532,-318
-293,532,-318
-538,438,-318
-538,438,-803
-867,936,-1209
-867,936,-1209
-664,1110,-1301
-664,1110,-1301
-676,973,-778
-66,973,-778
-66,982,-141
-45,1010,68
-45,1010,68
-261,1129,68
-261,1129,-3
-274,882,-134
-274,882,-134
-279,339,-134
-279,339,-249
-230,-8,-311
-162,-8,-311
-162,73,-174
-162,73,-174
-501,139,-404
-588,139,-404
-588,543,-767
-588,543,-767
-652,738,-719
-415,1074,-719
-415,1074,-794
-366,1074,-794
-366,1143,-629
-215,1037,-524
-215,1037,-524
-629,593,-524
-168,593,-38
-168,1054,-427
-168,1054,-427
-424,956,-64
-532,752,-64
-532,752,-363
-480,752,-363
-480,550,-355
-480,550,-355
-334,569,-355
-334,569,-427
-355,449,-427
-451,449,-300
-451,557,-354
-451,557,-354
-515,752,-354
-522,752,-415
-522,786,-560
-536,786,-560
-536,736,-399
-518,687,-399
-518,687,-417
-474,687,-417
-474,719,-570
-460,712,-582
-460,712,-582
-529,749,-582
-529,749,-499
-492,762,-495
-492,762,-495
-459,760,-472
-459,760,-472
-486,699,-496
-510,699,-496
-510,631,-462
-510,631,-462
-488,603,-414
-515,692,-414
-515,692,-387
-512,692,-387
-512,664,-363
-512,664,-363
-530,643,-363
-534,603,-335
-580,603,-335
-580,495,-277
-561,486,-267
-550,486,-267
-550,469,-239
-546,409,-259
-602,439,-349
-691,714,-467
-691,810,-501
-652,810,-501
-652,732,-579
-645,683,-579
-645,683,-630
-609,683,-630
-609,736,-706
-590,767,-739
-590,767,-739
-631,830,-739
-631,830,-677
-637,830,-677
-637,821,-654
-637,821,-654
-615,819,-674
-681,673,-542
