x,y,z
-772,187,-523
-779,198,-523
-779,198,-514
-775,198,-514
-775,210,-524
-775,210,-524
-774,204,-524
-774,204,-524
-782,218,-524
-782,218,-512
-785,218,-512
-785,218,-507
-785,218,-507
-781,215,-498
-781,215,-498
-788,216,-498
-788,216,-499
-787,216,-499
-787,209,-498
-778,227,-498
-778,227,-496
-782,210,-496
-782,210,-512
-772,210,-512
-772,200,-524
-772,200,-524
-765,203,-524
-765,203,-524
-765,205,-521
-765,205,-521
-753,215,-524
-745,207,-524
-745,207,-531
-760,207,-531
-760,205,-527
-769,206,-528
-769,206,-528
-764,205,-528
-764,205,-534
-760,212,-535
-760,212,-535
-758,213,-532
-758,213,-532
-766,212,-527
-770,212,-527
-770,203,-524
-770,203,-524
-775,205,-513
-781,205,-513
-781,206,-506
-789,206,-506
-789,193,-500
-797,200,-500
-797,200,-501
-789,200,-501
-789,198,-499
-789,198,-499
-782,205,-504
-782,205,-504
-786,196,-495
-790,196,-495
-790,207,-497
-790,207,-497
-792,194,-498
-780,217,-509
-765,222,-508
-765,222,-508
-775,218,-516
-775,216,-530
-775,216,-530
-773,217,-522
-758,247,-522
-758,247,-536
-739,247,-536
-739,322,-531
-784,401,-450
-784,401,-450
-881,427,-450
-881,427,-394
-901,427,-394
-901,443,-404
-901,443,-404
-829,511,-404
-820,511,-447
-820,561,-471
-825,561,-471
-825,628,-458
-889,591,-458
-889,591,-431
-888,591,-431
-888,573,-446
-824,532,-547
-824,532,-547
-764,526,-547
-764,526,-562
-746,561,-551
-746,561,-551
-787,614,-550
-787,614,-550
-710,667,-558
-811,667,-558
-811,539,-540
-811,539,-540
-726,556,-597
-663,615,-597
-663,615,-594
-679,615,-594
-679,689,-539
-763,725,-539
-763,725,-443
-666,786,-443
-666,786,-515
-588,786,-515
-588,724,-576
-588,724,-576
-597,669,-551
-587,669,-551
-587,683,-492
-587,683,-492
-592,707,-430
-498,655,-430
-498,655,-567
-485,655,-567
-485,542,-430
-479,525,-424
-479,525,-424
-488,487,-424
-508,487,-341
-508,433,-196
-508,433,-196
-371,414,-175
-371,414,-90
-404,414,-90
-1025,409,1003
-1025,409,1003
-463,1697,1003
-463,1697,293
65,748,-209
65,748,-209
-416,782,-209
-416,782,32
-767,417,32
-767,417,154
-507,417,154
-507,1334,551
-445,1244,551
-445,1244,-287
-528,1244,-287
-528,898,-102
-279,925,-781
-279,925,-781
304,605,-781
304,605,-623
-194,1194,-347
-194,1194,-347
-415,1571,-84
-415,1571,-84
-414,1472,-540
-244,1472,-540
-244,1166,-901
-244,1166,-901
-216,797,-661
