x,y,z
-940,180,148
-937,171,143
-937,171,143
-927,179,143
-927,179,144
-930,179,144
-930,179,140
-930,179,140
-932,170,141
-932,170,141
-937,171,141
-937,171,145
-935,171,145
-935,163,153
-935,163,153
-936,175,153
-936,175,150
-939,175,150
-939,170,151
-938,170,159
-938,170,159
-944,170,159
-944,170,158
-940,173,155
-940,173,155
-941,172,155
-941,172,154
-942,172,154
-942,167,158
-942,167,158
-942,178,157
-939,179,157
-939,179,156
-938,179,156
-938,181,150
-935,178,150
-935,178,154
-941,178,154
-941,186,151
-939,187,147
-939,187,147
-937,190,147
-937,190,150
-940,176,150
-940,176,150
-935,176,150
-935,176,150
-940,173,147
-935,173,147
-935,174,152
-935,174,152
-925,168,150
-925,168,150
-925,168,145
-925,168,145
-934,163,136
-941,167,136
-941,167,141
-935,167,141
-935,154,143
-935,154,143
-911,169,143
-911,169,143
-911,168,147
-911,168,147
-933,178,147
-933,178,147
-951,180,148
-952,180,148
-952,186,151
-952,186,151
-947,194,163
-933,194,163
-933,193,173
-933,193,173
-920,196,177
-920,202,177
-920,202,171
-926,202,171
-926,211,157
-954,233,157
-954,233,144
-993,325,144
-993,325,225
-971,458,350
-971,458,350
-866,636,350
-893,636,360
-893,784,387
-893,784,387
-1028,855,381
-1028,855,381
-1003,855,381
-1003,863,370
-987,863,370
-987,925,331
-975,945,331
-975,945,261
-993,945,261
-993,906,233
-973,865,176
-973,865,176
-928,793,176
-874,793,135
-874,694,134
-874,694,134
-846,621,134
-816,621,118
-816,565,105
-816,565,105
-765,528,112
-721,491,112
-721,491,125
-666,491,125
-666,465,154
-596,486,154
-596,486,205
-568,486,205
-568,594,242
-568,594,242
-494,679,322
-494,679,322
-422,661,322
-476,661,377
-476,621,429
-476,621,429
-500,591,429
-467,591,395
-467,684,360
-467,684,360
-334,710,258
-356,691,258
-356,691,200
-412,691,200
-412,608,198
-449,578,198
-449,578,235
-439,639,235
-439,639,213
-461,653,103
-461,653,103
-564,581,103
-613,320,138
-613,320,138
-1608,406,938
-1608,406,938
-1092,626,80
-205,626,80
-205,1353,358
-205,1353,358
-375,1344,358
-375,1344,1158
-1169,1344,1158
-1169,1461,1561
-756,1705,980
-756,1705,980
-252,1563,980
-252,1563,595
660,1536,181
660,1536,181
354,63,181
354,63,-466
399,-621,-451
399,-621,-451
-38,-1540,-312
-38,-1540,-312
-225,-1733,-563
-257,-1733,-563
-257,-813,-428
-257,-813,-428
-473,1682,193
-802,1682,193
-802,2395,317
-1232,2395,317
-1232,3215,1666
-775,3251,1666
-775,3251,981
901,3251,981
901,2387,543
1113,494,474
1113,494,474
938,422,474
938,422,82
24,422,82
24,59,-450
24,59,-450
-279,-675,-493
-444,-675,-493
-444,-780,-401
-444,-780,-401
-617,-280,-287
-629,745,-287
-629,745,192
-171,745,192
-171,1157,368
-357,2043,368
-357,2043,730
-324,2043,730
-324,3255,888
403,2407,744
403,2407,744
362,1705,744
277,1705,337
277,906,228
277,906,228
-19,589,228
11,589,-85
11,189,-305
11,189,-305
-318,-440,-294
-318,-440,-294
-490,-864,-294
-490,-864,-243
-609,-864,-243
-609,-677,174
-567,505,174
-567,505,701
-542,505,701
-542,1547,1087
-354,2255,952
-354,2255,952
-107,1932,952
47,1932,724
47,1193,496
47,1193,496
-2,790,496
414,790,254
414,688,124
414,688,124
-265,568,148
-146,621,148
-146,621,199
-158,621,199
-158,712,309
-165,725,309
-165,725,382
-172,494,382
-172,494,411
-275,611,440
-275,611,440
-216,845,440
-216,845,461
-691,845,461
-691,968,554
-691,968,554
-189,985,604
-532,-69,604
-532,-69,343
-412,-69,343
-412,199,292
-523,200,292
-523,200,257
-552,200,257
-552,462,256
-600,487,323
-600,487,323
-669,544,323
-669,544,314
-743,535,310
-743,535,310
-610,595,310
-610,595,260
-628,643,308
-628,643,308
-725,673,384
-725,673,384
-794,622,405
-908,622,405
-908,570,414
-908,570,414
-929,599,423
-992,592,423
-992,592,393
-1017,592,393
-1017,582,412
-1017,582,412
-1037,551,412
-1037,551,370
-1101,581,334
-1101,581,334
-1074,585,343
-1074,585,343
-976,584,300
-983,584,300
-983,572,278
-983,572,278
-1035,523,287
-1105,523,287
-1105,499,264
-1105,499,264
-1151,513,246
-1132,503,246
-1132,503,261
-1110,503,261
-1110,463,282
-1060,525,282
-1060,525,240
-957,525,240
-957,437,248
-901,351,214
-901,351,214
-844,235,214
-844,235,168
-825,235,168
-825,210,158
-825,210,158
-850,198,194
-780,198,194
-780,233,190
-780,233,190
-734,266,172
-751,305,172
-751,305,173
-854,305,173
-854,295,184
-968,268,184
-968,268,199
-1083,306,199
-1083,306,145
-1046,272,158
-1046,272,158
-957,283,158
-926,283,186
-926,346,197
-926,346,197
-950,277,201
-996,183,201
-996,183,210
-1008,183,210
-1008,48,166
-962,-51,166
-962,-51,176
-931,-51,176
-931,-49,177
-931,-49,177
-899,-5,195
-899,-5,195
-921,34,195
-961,34,224
-967,66,192
-967,93,175
-967,93,175
-948,116,169
-948,116,169
-941,116,169
-941,91,171
-951,112,165
