x,y,z
-856,-63,-410
-861,-67,-410
-861,-67,-403
-862,-67,-403
-862,-71,-403
-862,-71,-403
-860,-70,-403
-860,-70,-401
-863,-70,-401
-863,-72,-405
-863,-72,-405
-863,-68,-410
-863,-68,-410
-861,-65,-410
-861,-65,-407
-866,-65,-407
-866,-56,-402
-866,-56,-402
-866,-51,-402
-866,-51,-401
-864,-51,-401
-864,-53,-404
-864,-53,-404
-863,-55,-410
-856,-51,-410
-856,-51,-415
-855,-51,-415
-855,-46,-415
-858,-53,-415
-858,-53,-420
-862,-44,-420
-862,-44,-416
-863,-21,-411
-863,-21,-411
-857,-22,-411
-849,-22,-420
-849,-8,-415
-849,-8,-415
-851,-3,-419
-844,-12,-419
-844,-12,-428
-832,-12,-428
-832,16,-469
-832,16,-469
-845,78,-469
-845,78,-451
-867,78,-451
-910,619,-602
-910,482,-605
-910,482,-605
-877,371,-588
-920,371,-588
-920,385,-650
-924,385,-650
-924,373,-698
-880,368,-698
-880,368,-745
-870,368,-745
-870,282,-732
-841,221,-744
-841,221,-744
-895,250,-744
-895,250,-677
-878,189,-644
-878,189,-644
-829,156,-644
-829,156,-608
-776,124,-676
-776,124,-676
-767,147,-661
-767,147,-661
-891,194,-661
-891,194,-477
-799,194,-477
-799,253,-433
-636,353,-433
-636,353,-550
-711,353,-550
-711,291,-474
-675,320,-362
-675,320,-362
-603,331,-362
-603,331,-448
-527,259,-494
-527,259,-494
-536,170,-494
-536,170,-381
-550,287,-262
-550,287,-262
-532,368,-272
-532,368,-272
-469,327,-400
-495,327,-400
-495,283,-389
-495,283,-389
-529,375,-417
-444,430,-417
-422,437,-1015
-402,262,-1015
-570,685,-1007
-570,685,-1007
-927,-68,-140
-927,-68,-140
-1016,-458,-754
-121,-458,-754
-121,648,-663
-121,648,-663
106,1190,-1287
416,1190,-1287
416,981,-1937
416,981,-1937
51,550,-2069
-199,642,-2069
-199,642,-1479
-203,642,-1479
-203,-18,-1317
-122,579,-1347
-122,579,-1347
-182,616,-1347
-293,616,-1367
-293,656,-1242
-293,656,-1242
-301,291,-1242
-51,291,-1089
-51,317,-1014
-51,317,-1014
97,-29,-668
97,-29,-668
-160,109,-668
-160,109,-302
-66,109,-302
-66,-63,114
-21,-34,114
-21,-34,364
36,-34,364
36,-434,427
57,-744,468
57,-744,468
-3,-713,468
-224,-713,324
-224,-240,-122
-224,-240,-122
-180,73,-1239
383,73,-1239
383,324,-2963
359,324,-2963
359,755,-3924
-130,761,-3924
-130,761,-3364
-368,761,-3364
-368,392,-1861
-103,115,-742
-103,115,-742
86,-156,-742
86,-156,109
252,-203,626
252,-203,626
186,-323,626
186,-323,704
-312,-323,704
-312,-330,674
-312,-330,674
-478,-236,94
111,-173,94
111,-173,-1231
455,-173,-1231
455,52,-2491
128,350,-2491
128,350,-2731
78,350,-2731
78,264,-2340
120,244,-1688
120,244,-1688
92,307,-1688
92,307,-1015
-20,399,-304
-20,399,-304
-318,533,-304
-318,533,19
-401,464,-17
-401,464,-17
-137,55,-408
-137,55,-408
174,-90,-1043
232,-90,-1043
232,-37,-1450
232,-37,-1450
252,-48,-1480
252,-48,-1480
174,-39,-1480
174,-39,-1216
234,-138,-1014
234,-138,-1014
154,1,-1014
154,1,-799
44,91,-719
44,91,-719
31,170,-730
31,170,-730
57,196,-838
114,196,-838
114,171,-986
114,171,-986
123,163,-1055
77,163,-1055
77,138,-1074
77,138,-1074
72,177,-1036
43,206,-1036
43,206,-967
62,206,-967
62,150,-935
66,126,-935
66,126,-893
38,126,-893
38,137,-861
34,149,-874
34,149,-874
54,114,-874
54,114,-871
73,114,-871
73,109,-936
73,109,-936
130,75,-1034
105,75,-1034
105,211,-1029
-9,211,-1029
-9,258,-965
-9,288,-965
-9,288,-1042
-42,288,-1042
-42,398,-816
-152,498,-780
-152,498,-780
-145,73,-780
-416,73,-698
-416,59,-251
-416,59,-251
-137,33,-251
-48,33,-436
-48,-9,-437
-48,-9,-437
-459,-195,-218
-469,-72,-218
-469,-72,-533
-491,-72,-533
-491,75,-698
-548,195,-698
-548,195,-475
-782,195,-475
-782,222,-236
-782,222,-236
-1063,128,-458
-1063,128,-458
-1067,-232,-458
-1027,-232,-868
-1027,-405,-1118
-1027,-405,-1118
-1024,-550,-1118
-1296,-550,-1249
-1296,-524,-1340
-1296,-524,-1340
-1185,-307,-1576
-964,121,-1576
-964,121,-1618
-615,121,-1618
-615,247,-1757
-532,209,-1757
-532,209,-1530
-649,209,-1530
-649,159,-1245
-814,3,-928
-814,3,-928
-928,-26,-928
-928,-26,-693
-1155,494,-235
-1155,494,-235
-3396,1099,-843
-3396,1099,-843
-430,1429,-229
-806,1429,-229
-806,490,-590
-806,490,-590
-821,-1,-590
-821,-1,-321
-898,-1,-321
-898,-79,-353
-808,-137,-426
-808,-137,-426
-870,-66,-426
-870,-66,-441
-752,-105,-693
-752,-105,-693
-737,91,-693
-737,91,-770
-754,5,-759
-754,5,-759
-742,-94,-688
-742,-94,-688
-599,24,-681
-804,-7,-538
-857,-169,-538
-857,-169,-444
-804,-128,-470
-754,-174,-470
-754,-174,-492
-720,-174,-492
-720,-217,-429
-720,-217,-429
-767,-239,-250
-767,-239,-250
-937,-246,-44
-992,-246,-44
-992,-173,-8
-992,-173,-8
-987,-192,-211
-911,-192,-211
-911,-89,-370
-911,-89,-370
-881,-66,-431
-844,-53,-431
-844,-53,-471
-816,-53,-471
-816,-38,-498
-804,-72,-498
-804,-72,-524
-801,-72,-524
-801,-70,-522
-798,-56,-520
-798,-56,-520
-836,8,-520
-872,8,-495
-872,38,-463
-872,38,-463
-884,22,-436
-887,22,-436
-887,-11,-403
-869,-11,-403
-869,-67,-382
-869,-67,-382
-873,-95,-382
-873,-95,-357
-883,-95,-357
-883,-93,-367
-876,-101,-391
-876,-101,-391
-865,-91,-391
-848,-91,-412
-848,-86,-422
-848,-86,-422
-837,-79,-422
-837,-79,-435
-837,-101,-428
-837,-101,-428
-841,-105,-427
-848,-91,-427
-848,-91,-419
-861,-91,-419
-861,-69,-400
-879,-43,-400
-879,-43,-393
-876,-43,-393
-876,-48,-396
-863,-58,-409
-863,-58,-409
-852,-74,-409
-852,-74,-421
-851,-65,-421
-851,-65,-421
-851,-65,-421
-851,-59,-425
-845,-59,-425
-845,-59,-426
-852,-59,-426
-852,-63,-420
-868,-61,-417
-868,-61,-417
-868,-65,-417
-868,-65,-411
-855,-68,-406
-855,-68,-406
-850,-72,-406
-850,-72,-409
-856,-76,-409
-856,-76,-409
-859,-73,-420
-863,-70,-428
-848,-56,-419
-860,-67,-412
-860,-67,-412
-864,-75,-412
-864,-75,-418
-861,-81,-416
-861,-81,-416
-854,-75,-410
-854,-75,-410
-852,-73,-407
-855,-73,-407
-855,-70,-414
-855,-70,-414
-859,-71,-424
-861,-71,-424
-861,-74,-425
-861,-74,-425
-865,-68,-422
